0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param
,,14,,18,11,14,0,0,19.0,20,30.0,0,15,0.0,5,13,0.0,30.0,10,13,20.0,28.0,8.0,5.0,6.0,27.0,16,30.0,20.0,1,9.0,21.0,,19,15,14.0,,9,0,12,18,,13,6,14,19,17,2,29.0,15,25.0,28.0,28.0,18,17.0,1.0,0.0,6,19,0.0,19,8,20,,7,10.0,18,0,,19.0,,3.0,,21.0,1.0,20,18,19,17,27.0,20.0,0,17.0,7.0,30.0,1.0,14,23.0,,13.0,,12,12
27.0,,12,,15,2,13,15,18,18.0,17,20.0,0,9,5.0,10,13,10.0,24.0,9,12,15.0,21.0,0.0,19.0,8.0,,0,18.0,0.0,8,14.0,,0.0,15,14,23.0,11.0,7,11,12,0,13.0,7,1,13,16,3,13,19.0,14,16.0,17.0,11.0,3,19.0,,2.0,17,16,,9,0,15,,9,,10,12,0.0,8.0,,21.0,24.0,,,1,12,0,13,,11.0,11,,0.0,16.0,1.0,14,,15.0,15.0,12.0,13,12
,20.0,0,,17,3,0,20,16,14.0,15,22.0,13,2,12.0,11,11,,0.0,6,2,24.0,23.0,17.0,9.0,24.0,19.0,14,13.0,23.0,23,23.0,,5.0,16,14,0.0,,13,22,12,22,13.0,13,5,1,9,23,4,22.0,21,,22.0,,23,20.0,,24.0,13,12,,23,0,24,0.0,10,9.0,16,4,,23.0,23.0,0.0,20.0,10.0,6.0,24,22,23,15,,18.0,0,3.0,0.0,21.0,7.0,5,21.0,0.0,4.0,20.0,14,12
15.0,,11,,15,11,13,3,0,0.0,15,26.0,12,14,0.0,10,13,9.0,11.0,12,13,16.0,19.0,7.0,16.0,,25.0,15,17.0,17.0,14,18.0,,14.0,16,11,,11.0,14,9,3,6,16.0,15,14,14,0,15,0,18.0,15,11.0,16.0,13.0,16,9.0,25.0,18.0,0,0,14.0,0,11,16,0.0,1,,10,10,,12.0,,26.0,11.0,,13.0,12,4,0,6,,4.0,9,13.0,6.0,17.0,17.0,8,,,,,15,12
,,23,24.0,24,0,21,0,25,26.0,25,27.0,20,23,25.0,17,23,,22.0,18,22,19.0,26.0,22.0,27.0,0.0,0.0,24,26.0,0.0,15,24.0,,,23,23,22.0,,23,17,14,15,26.0,14,24,13,19,16,0,22.0,0,6.0,17.0,0.0,11,25.0,,17.0,5,13,23.0,1,10,18,,12,,0,23,22.0,20.0,22.0,26.0,,,21.0,11,19,4,14,0.0,23.0,20,24.0,,7.0,15.0,13,,,7.0,11.0,16,12
9.0,,13,,0,5,11,16,13,0.0,14,8.0,15,13,0.0,9,0,19.0,6.0,3,7,,18.0,16.0,,19.0,21.0,3,0.0,20.0,13,17.0,17.0,0.0,5,3,,,13,20,14,20,17.0,13,12,5,21,21,15,15.0,21,10.0,14.0,12.0,6,18.0,11.0,21.0,19,0,3.0,8,11,21,0.0,4,,7,13,0.0,15.0,13.0,17.0,,12.0,6.0,11,8,14,12,,14.0,12,0.0,18.0,16.0,9.0,8,,13.0,12.0,21.0,17,12
0.0,,0,12.0,14,16,8,16,1,9.0,12,17.0,0,13,5.0,1,13,,13.0,9,0,23.0,15.0,,,19.0,,10,12.0,20.0,20,9.0,6.0,,5,2,8.0,0.0,13,18,12,20,6.0,11,10,17,13,21,13,3.0,13,0.0,14.0,13.0,19,14.0,19.0,14.0,17,22,,22,15,21,,14,,19,17,16.0,21.0,,18.0,0.0,18.0,15.0,21,18,20,17,,17.0,0,0.0,,0.0,20.0,18,,7.0,14.0,,18,12
27.0,21.0,21,,24,23,22,25,26,16.0,22,30.0,24,21,0.0,17,18,28.0,,16,19,25.0,20.0,28.0,21.0,32.0,,22,18.0,16.0,25,29.0,34.0,36.0,12,23,,17.0,0,9,18,22,27.0,0,0,24,26,0,25,17.0,23,,5.0,34.0,24,28.0,14.0,25.0,18,15,,15,19,25,,16,36.0,20,24,0.0,26.0,,31.0,,,,21,0,0,24,21.0,24.0,20,,22.0,27.0,24.0,18,0.0,0.0,,,19,12
,,0,,19,17,18,18,18,8.0,18,17.0,0,5,19.0,16,1,15.0,,15,8,22.0,18.0,,22.0,20.0,12.0,15,18.0,21.0,15,19.0,10.0,20.0,19,0,,5.0,12,20,3,20,4.0,16,16,17,21,14,0,4.0,21,,18.0,,0,17.0,9.0,14.0,21,0,16.0,20,16,22,7.0,15,,19,17,2.0,5.0,,19.0,0.0,,19.0,19,16,18,0,,13.0,17,0.0,21.0,10.0,19.0,18,0.0,,,25.0,20,12
18.0,27.0,5,0.0,17,18,14,12,15,34.0,0,20.0,19,0,,12,10,13.0,2.0,0,9,0.0,12.0,,,21.0,,8,6.0,20.0,21,19.0,,34.0,14,16,,33.0,7,17,16,15,0.0,15,11,19,19,18,10,0.0,19,,16.0,,0,18.0,,9.0,13,8,,10,14,21,33.0,11,26.0,10,17,0.0,21.0,25.0,14.0,31.0,,,5,18,0,18,15.0,22.0,4,,22.0,1.0,22.0,21,15.0,19.0,31.0,22.0,21,12
