0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,simple_param,EPH,corr
6.0,,3.0,0.0,4.0,1.0,3.0,8.0,4.0,6.0,8.0,3.0,5.0,4.0,4.0,3.0,3.0,,5.0,0.0,5.0,1.0,6.0,,1.0,2.0,5.0,3.0,4.0,,7.0,5.0,8.0,8.0,0.0,0.0,1.0,5.0,3.0,0.0,3.0,4.0,5.0,0.0,2.0,2.0,2.0,8.0,4.0,2.0,1.0,6.0,,7.0,5.0,0.0,0.0,8.0,3.0,1.0,7.0,0.0,6.0,8.0,6.0,4,4.0,3.0,3.0,7.0,6.0,,6.0,5.0,,,6.0,6.0,3.0,2.0,4.0,5.0,3.0,6.0,5.0,5.0,2.0,4.0,5.0,0.0,,6.0,10,0.05,3.2034428794992174,-0.2713386787170856
6.0,,3.0,2.0,5.0,3.0,2.0,4.0,1.0,,2.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,0.0,6.0,3.0,,5.0,4.0,0.0,0.0,6.0,1.0,4.0,5.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,0.0,5.0,2.0,2.0,0.0,2.0,,2.0,3.0,,,0.0,2.0,2.0,0.0,1.0,3.0,,3,3.0,3.0,0.0,5.0,2.0,,4.0,5.0,3.0,,,4.0,0.0,4.0,1.0,4.0,4.0,3.0,,0.0,3.0,4.0,5.0,2.0,3.0,,11,0.05,2.481717011128776,-0.08234649479193937
6.0,,1.0,,,3.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,3.0,1.0,6.0,4.0,6.0,3.0,4.0,4.0,1.0,,4.0,5.0,2.0,6.0,4.0,3.0,6.0,4.0,6.0,5.0,0.0,5.0,4.0,,3.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,,3.0,4.0,3.0,0.0,4.0,,0.0,3.0,4.0,4.0,,2,6.0,3.0,0.0,,2.0,1.0,3.0,3.0,5.0,1.0,2.0,3.0,5.0,4.0,,4.0,0.0,3.0,4.0,6.0,5.0,3.0,4.0,4.0,3.0,5.0,12,0.05,2.565008025682183,-0.27596420802616267
5.0,3.0,4.0,7.0,3.0,3.0,3.0,7.0,5.0,7.0,6.0,3.0,0.0,3.0,2.0,7.0,5.0,6.0,1.0,2.0,2.0,3.0,,0.0,5.0,,4.0,0.0,6.0,0.0,4.0,3.0,6.0,0.0,4.0,4.0,,2.0,3.0,4.0,1.0,0.0,,3.0,4.0,5.0,3.0,5.0,1.0,4.0,6.0,6.0,4.0,7.0,2.0,6.0,4.0,1.0,4.0,4.0,7.0,7.0,0.0,1.0,,2,,4.0,3.0,0.0,4.0,,5.0,5.0,,5.0,4.0,2.0,0.0,3.0,4.0,4.0,1.0,5.0,0.0,7.0,2.0,6.0,,5.0,6.0,,13,0.05,2.9003115264797508,-0.2235802132015868
3.0,6.0,0.0,1.0,5.0,5.0,0.0,6.0,6.0,4.0,7.0,3.0,1.0,3.0,2.0,1.0,3.0,7.0,0.0,4.0,2.0,3.0,,2.0,6.0,,7.0,3.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,3.0,4.0,5.0,7.0,3.0,7.0,5.0,4.0,5.0,5.0,6.0,,1.0,4.0,3.0,5.0,,5.0,7.0,6.0,5.0,6.0,7.0,0.0,7.0,0.0,4,5.0,5.0,3.0,5.0,5.0,6.0,0.0,5.0,7.0,6.0,6.0,5.0,1.0,7.0,2.0,4.0,0.0,7.0,0.0,5.0,1.0,6.0,7.0,0.0,6.0,6.0,14,0.05,2.815165876777251,-0.1062274047944007
5.0,,3.0,6.0,4.0,5.0,2.0,6.0,0.0,0.0,4.0,6.0,6.0,5.0,0.0,1.0,3.0,5.0,3.0,4.0,5.0,,6.0,5.0,6.0,5.0,3.0,,3.0,4.0,4.0,4.0,3.0,,2.0,4.0,,,4.0,5.0,3.0,6.0,3.0,4.0,4.0,1.0,0.0,3.0,0.0,5.0,5.0,4.0,,5.0,2.0,4.0,3.0,6.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2,,5.0,,4.0,3.0,3.0,1.0,6.0,,4.0,2.0,6.0,0.0,2.0,5.0,4.0,4.0,3.0,1.0,6.0,3.0,6.0,,,3.0,,15,0.05,2.7519500780031203,-0.09364533594178664
4.0,,4.0,2.0,4.0,0.0,2.0,0.0,6.0,1.0,3.0,3.0,2.0,5.0,3.0,4.0,2.0,,,3.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.0,2.0,2.0,1.0,6.0,1.0,3.0,6.0,6.0,,4.0,5.0,2.0,,1.0,4.0,1.0,3.0,3.0,0.0,4.0,0.0,5.0,4.0,0.0,3.0,5.0,4.0,4.0,3.0,6.0,5.0,4.0,2.0,1.0,5.0,3,,0.0,5.0,6.0,,,2.0,3.0,,3.0,2.0,1.0,,6.0,0.0,,4.0,1.0,5.0,,3.0,3.0,2.0,,1.0,1.0,16,0.05,2.6784,-0.032195505809282904
5.0,6.0,7.0,4.0,0.0,4.0,3.0,4.0,,0.0,4.0,2.0,,1.0,0.0,7.0,0.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,6.0,,4.0,3.0,0.0,4.0,5.0,4.0,6.0,0.0,3.0,1.0,4.0,3.0,5.0,6.0,,5.0,4.0,2.0,5.0,5.0,6.0,4.0,3.0,7.0,,1.0,3.0,7.0,3.0,6.0,5.0,,5.0,0.0,5.0,6.0,7.0,5.0,0.0,3,4.0,6.0,2.0,0.0,,6.0,4.0,,7.0,5.0,4.0,5.0,,7.0,5.0,5.0,2.0,0.0,,4.0,3.0,1.0,7.0,4.0,,4.0,17,0.05,2.996904024767802,-0.06302606368164912
0.0,,0.0,,2.0,1.0,4.0,6.0,3.0,7.0,5.0,2.0,0.0,3.0,5.0,2.0,1.0,2.0,6.0,2.0,0.0,3.0,1.0,1.0,,2.0,4.0,3.0,2.0,6.0,4.0,3.0,6.0,4.0,1.0,2.0,5.0,0.0,4.0,5.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,,1.0,3.0,6.0,0.0,,,3.0,3.0,5.0,4.0,5.0,,,6.0,3.0,4.0,,4,6.0,6.0,3.0,5.0,4.0,6.0,6.0,0.0,,3.0,7.0,3.0,1.0,4.0,,2.0,0.0,0.0,7.0,0.0,2.0,2.0,4.0,2.0,4.0,7.0,18,0.05,2.662480376766091,-0.18573050523879586
5.0,2.0,2.0,,4.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,,3.0,0.0,3.0,3.0,6.0,,1.0,2.0,,4.0,6.0,6.0,,6.0,2.0,6.0,6.0,5.0,3.0,6.0,4.0,4.0,1.0,,6.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,3.0,5.0,0.0,2.0,5.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,5.0,6.0,6.0,2.0,4.0,4.0,3.0,5.0,1,,5.0,,0.0,5.0,4.0,6.0,3.0,5.0,6.0,3.0,0.0,0.0,4.0,,2.0,1.0,,1.0,1.0,3.0,6.0,0.0,0.0,6.0,4.0,19,0.05,2.7234375,-0.2990453130994012
5.0,6.0,0.0,,3.0,2.0,4.0,6.0,6.0,4.0,4.0,,0.0,2.0,4.0,2.0,5.0,,5.0,1.0,4.0,3.0,6.0,6.0,3.0,4.0,6.0,3.0,3.0,1.0,2.0,3.0,,4.0,3.0,0.0,2.0,,4.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,0.0,4.0,4.0,1.0,,,0.0,1.0,5.0,2.0,4.0,0.0,3.0,5.0,1.0,5.0,5.0,1,,1.0,3.0,6.0,,2.0,5.0,0.0,,5.0,5.0,1.0,2.0,0.0,3.0,3.0,2.0,0.0,,6.0,4.0,1.0,0.0,4.0,1.0,2.0,20,0.05,2.657142857142857,-0.27561371906000887
