0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
36.0,,0,,9,19,21,30,24.0,5.0,19,37.0,11.0,0,22.0,21,0,,,12,13,22.0,0.0,1.0,0.0,39.0,14.0,11,20.0,20.0,24,36.0,,0.0,25,6,,10.0,21,28,20,27,3.0,19,20,11,33.0,23.0,26,32.0,29,,35.0,,29,32.0,17.0,29.0,27.0,28.0,0.0,28,21,34.0,26.0,8,,24,0,,32.0,22.0,25.0,23.0,,21.0,0,6,2,22,0.0,3.0,8,,7.0,34.0,33.0,23,39.0,,3.0,,0,13,14.058823529411764,-0.09676351974749635
22.0,,19,36.0,6,11,20,16,25.0,21.0,26,12.0,13.0,5,9.0,12,20,29.0,14.0,5,13,2.0,,21.0,,,,20,26.0,24.0,9,26.0,22.0,17.0,12,19,31.0,,18,0,1,5,29.0,19,0,3,26.0,20.0,23,27.0,20,11.0,1.0,0.0,0,19.0,0.0,31.0,6.0,0.0,,11,6,25.0,7.0,10,,12,20,,22.0,,,0.0,0.0,12.0,9,19,6,11,22.0,0.0,14,,0.0,28.0,32.0,21,,15.0,,29.0,1,13,12.93655589123867,-0.21164836804449882
19.0,,0,8.0,8,13,11,16,18.0,12.0,19,10.0,13.0,0,0.0,12,0,11.0,3.0,9,9,0.0,15.0,0.0,7.0,4.0,4.0,11,22.0,24.0,21,19.0,21.0,17.0,20,0,1.0,,11,23,12,22,23.0,8,11,14,6.0,24.0,2,21.0,23,,2.0,25.0,15,19.0,0.0,,23.0,24.0,,18,2,25.0,,8,,21,12,5.0,13.0,0.0,18.0,8.0,,,20,15,2,14,,10.0,10,7.0,0.0,23.0,1.0,8,,,,,2,13,10.084720121028745,0.06327649097214902
,,15,23.0,18,12,8,16,10.0,0.0,7,23.0,11.0,16,,16,17,21.0,29.0,11,16,29.0,19.0,,7.0,5.0,12.0,17,20.0,9.0,9,5.0,18.0,,19,17,22.0,,6,7,12,21,21.0,2,14,0,20.0,19.0,15,20.0,22,14.0,0.0,,9,0.0,,24.0,0.0,23.0,2.0,22,12,22.0,,10,28.0,19,0,15.0,0.0,,13.0,9.0,15.0,,22,4,19,18,,23.0,15,28.0,0.0,0.0,15.0,19,,,0.0,18.0,3,13,10.433734939759036,-0.16757289748209722
31.0,32.0,9,24.0,19,19,18,22,7.0,7.0,0,36.0,9.0,0,0.0,13,16,20.0,13.0,6,13,22.0,15.0,,16.0,27.0,,9,22.0,21.0,21,30.0,,,20,0,,35.0,7,19,17,18,23.0,11,12,21,23.0,0.0,18,2.0,11,17.0,6.0,0.0,15,18.0,22.0,8.0,17.0,19.0,,21,0,22.0,,10,,16,0,,21.0,,27.0,21.0,,19.0,9,20,10,20,0.0,18.0,12,,9.0,22.0,14.0,5,,0.0,23.0,,4,13,11.298484848484849,-0.2734958210546735
,,5,35.0,17,4,16,20,16.0,38.0,0,,20.0,8,25.0,14,19,18.0,11.0,6,0,26.0,12.0,,37.0,36.0,,18,0.0,7.0,7,37.0,,18.0,0,18,12.0,0.0,17,17,0,15,1.0,17,16,18,11.0,12.0,19,0.0,24,4.0,0.0,13.0,0,17.0,,,24.0,23.0,,25,16,20.0,28.0,14,31.0,17,17,,12.0,13.0,25.0,33.0,0.0,,10,1,13,17,,20.0,15,16.0,21.0,19.0,18.0,13,12.0,3.0,,,5,13,12.49390243902439,-0.14817503363576082
0.0,4.0,21,,1,20,22,5,34.0,12.0,23,4.0,23.0,21,24.0,2,12,,17.0,7,0,1.0,5.0,0.0,9.0,,25.0,23,22.0,14.0,0,24.0,,,21,22,20.0,0.0,0,0,18,8,31.0,6,18,8,23.0,1.0,17,35.0,11,4.0,,,10,0.0,9.0,6.0,14.0,0.0,,14,2,2.0,0.0,6,,9,22,16.0,33.0,10.0,35.0,33.0,,34.0,1,21,19,7,5.0,35.0,20,,13.0,35.0,28.0,25,,7.0,34.0,15.0,6,13,13.708270676691729,-0.05681027147960671
29.0,19.0,6,,16,5,13,21,11.0,9.0,17,32.0,13.0,15,10.0,0,14,,0.0,7,8,5.0,0.0,5.0,,,10.0,14,16.0,24.0,20,30.0,,7.0,14,16,,0.0,6,24,14,4,5.0,0,15,5,25.0,25.0,16,18.0,25,7.0,6.0,25.0,24,20.0,10.0,15.0,0.0,32.0,,31,0,23.0,,10,0.0,18,17,,26.0,31.0,7.0,15.0,32.0,21.0,16,2,0,18,14.0,32.0,0,29.0,,7.0,25.0,19,20.0,22.0,,,7,13,11.85,-0.22841059195414795
23.0,0.0,17,0.0,20,18,19,21,20.0,2.0,19,0.0,0.0,19,11.0,9,2,11.0,5.0,0,8,7.0,,29.0,22.0,,,17,21.0,18.0,12,30.0,,6.0,18,5,7.0,,5,8,19,15,30.0,19,1,20,14.0,17.0,4,5.0,0,8.0,25.0,25.0,16,,7.0,,0.0,23.0,,2,10,14.0,24.0,1,,13,18,15.0,20.0,30.0,,,,16.0,6,19,20,17,0.0,11.0,18,,23.0,13.0,14.0,0,27.0,0.0,22.0,,8,13,11.565548780487806,-0.10156424428341207
26.0,,14,0.0,8,5,0,15,9.0,,15,27.0,18.0,14,11.0,11,14,20.0,7.0,1,0,6.0,8.0,5.0,15.0,7.0,0.0,15,0.0,18.0,14,16.0,25.0,6.0,16,17,26.0,,0,12,13,14,5.0,5,13,0,0.0,16.0,14,,16,,,,17,6.0,,27.0,16.0,5.0,,0,13,10.0,23.0,12,15.0,12,15,10.0,18.0,,17.0,9.0,,17.0,0,17,11,17,17.0,21.0,7,9.0,10.0,,16.0,16,12.0,25.0,24.0,,9,13,9.371212121212121,-0.1958518010327281
45.0,18.0,14,0.0,15,13,13,5,21.0,39.0,23,3.0,12.0,3,29.0,14,7,16.0,,0,13,39.0,23.0,13.0,37.0,21.0,,15,22.0,22.0,6,3.0,4.0,30.0,0,0,4.0,45.0,15,0,14,12,45.0,0,7,13,23.0,22.0,5,2.0,23,1.0,44.0,43.0,17,0.0,0.0,35.0,33.0,38.0,20.0,0,15,2.0,,8,,21,8,17.0,22.0,,22.0,3.0,,,22,18,22,7,19.0,15.0,12,,,1.0,,4,,0.0,8.0,,10,13,16.022727272727273,-0.23556116775853447
13.0,,5,,20,13,17,11,9.0,,11,2.0,19.0,16,18.0,3,17,,12.0,13,15,18.0,0.0,12.0,,,,8,0.0,0.0,16,18.0,29.0,,19,18,,12.0,12,8,16,12,18.0,18,14,17,1.0,0.0,14,20.0,18,0.0,21.0,27.0,14,21.0,16.0,1.0,0.0,30.0,29.0,0,8,15.0,,9,14.0,10,0,,5.0,21.0,8.0,5.0,,15.0,11,15,0,5,3.0,14.0,7,,,0.0,12.0,12,16.0,19.0,27.0,16.0,11,13,10.361861861861861,-0.1999517145366258
,,5,13.0,14,17,17,0,0.0,27.0,19,,0.0,16,0.0,16,16,0.0,,14,15,22.0,32.0,,,14.0,,2,8.0,26.0,17,13.0,,,10,15,11.0,20.0,16,0,17,23,17.0,17,16,7,3.0,7.0,18,23.0,24,12.0,9.0,,22,31.0,13.0,0.0,24.0,26.0,0.0,25,3,26.0,,13,26.0,3,0,30.0,19.0,16.0,19.0,9.0,20.0,31.0,19,16,18,16,,7.0,0,31.0,,7.0,2.0,18,18.0,22.0,13.0,,12,13,11.539393939393939,-0.11048465667178291
22.0,23.0,13,,7,14,15,22,18.0,15.0,17,9.0,0.0,14,5.0,12,10,18.0,,12,12,22.0,23.0,0.0,18.0,28.0,,0,16.0,0.0,20,24.0,,0.0,3,13,,6.0,15,16,15,0,2.0,11,13,11,22.0,9.0,16,9.0,17,25.0,16.0,8.0,9,21.0,,27.0,21.0,10.0,20.0,11,0,9.0,,11,,12,19,0.0,27.0,,20.0,6.0,20.0,17.0,23,16,0,13,3.0,28.0,3,,0.0,4.0,26.0,11,,,,28.0,13,13,9.923192771084338,-0.1630575092163099
29.0,23.0,0,33.0,5,19,0,30,3.0,28.0,3,,10.0,19,21.0,13,20,,0.0,9,14,8.0,,7.0,,33.0,,17,23.0,12.0,28,,,32.0,22,1,0.0,29.0,17,22,18,24,17.0,21,15,22,7.0,5.0,20,34.0,26,21.0,25.0,26.0,27,33.0,14.0,,29.0,3.0,30.0,25,0,7.0,0.0,9,,24,22,,16.0,,0.0,16.0,24.0,17.0,24,27,29,23,19.0,43.0,0,,0.0,24.0,14.0,14,34.0,0.0,,,14,13,14.519877675840979,-0.1485538386585925
28.0,,23,,29,18,22,13,0.0,0.0,22,12.0,27.0,21,0.0,16,22,32.0,54.0,16,3,18.0,6.0,29.0,,3.0,,17,4.0,25.0,17,26.0,12.0,,28,24,40.0,23.0,22,6,15,19,30.0,13,16,8,0.0,20.0,0,27.0,7,,12.0,,21,29.0,,19.0,0.0,0.0,51.0,0,5,26.0,0.0,17,20.0,13,23,8.0,22.0,50.0,25.0,,,,6,22,0,23,,9.0,11,39.0,,26.0,30.0,24,26.0,34.0,44.0,,15,13,17.21954887218045,-0.3459765133115057
