0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
2.0,,1,0.0,1,2,1,2,2,2.0,2.0,2.0,1,1,2.0,1,1,2.0,2.0,0,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2,,1.0,2.0,2.0,0,0,1.0,2.0,1,0,1,1,2.0,0,1,2,2.0,2.0,2,1.0,1,2.0,2.0,2.0,2,0.0,0.0,2.0,2.0,2.0,,0.0,1,2.0,2.0,1,,2.0,2,,2.0,,2.0,2.0,,,2,2,2.0,2,2.0,,1,2.0,2.0,2.0,2.0,2,2.0,0.0,,,10,3,1.205128205128205,-0.3581324284414044
2.0,2.0,2,,2,2,2,1,1,2.0,2.0,2.0,2,1,2.0,1,2,2.0,2.0,2,2,1.0,0.0,,2.0,2.0,2.0,2.0,0.0,0,1.0,2.0,2.0,,1,2,,,2,1,2,1,2.0,1,1,2,1.0,0.0,1,1.0,2,0.0,2.0,2.0,1,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1,1.0,,1,2.0,1.0,0,2.0,2.0,2.0,2.0,1.0,,2.0,1,2,0.0,1,2.0,2.0,1,2.0,1.0,0.0,2.0,2,2.0,2.0,2.0,2.0,11,3,1.1824175824175824,-0.3499113621369876
,,1,,2,1,1,0,0,1.0,2.0,2.0,0,1,0.0,1,1,0.0,2.0,1,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2,2.0,2.0,2.0,2.0,2,1,2.0,2.0,2,0,1,2,2.0,2,1,2,2.0,2.0,1,2.0,2,2.0,2.0,,2,2.0,2.0,0.0,1.0,2.0,0.0,2.0,1,2.0,2.0,1,,2.0,0,,2.0,,2.0,2.0,,2.0,1,2,2.0,2,,2.0,0,2.0,2.0,2.0,2.0,1,2.0,,2.0,,12,3,1.2043956043956043,-0.42911324626047603
2.0,2.0,1,,2,1,2,2,2,2.0,2.0,2.0,0,2,1.0,1,1,2.0,2.0,1,1,2.0,2.0,0.0,1.0,2.0,,0.0,2.0,0,2.0,2.0,,0.0,2,2,2.0,2.0,2,1,2,0,2.0,2,2,2,1.0,1.0,1,2.0,2,2.0,2.0,,1,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0,1.0,,1,2.0,1.0,1,0.0,2.0,2.0,2.0,2.0,,2.0,2,2,0.0,1,1.0,2.0,1,,0.0,2.0,2.0,2,2.0,,2.0,2.0,13,3,1.171875,-0.2512324928532738
,,0,2.0,2,2,0,2,1,2.0,2.0,2.0,1,1,1.0,1,2,,0.0,1,1,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,1,1,0.0,2.0,1,2,1,2,2.0,1,1,2,2.0,2.0,1,2.0,2,2.0,1.0,2.0,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0,2.0,0.0,1,,2.0,1,,2.0,,0.0,2.0,,,2,2,2.0,2,,,0,2.0,0.0,2.0,2.0,2,2.0,0.0,,2.0,14,3,1.210161662817552,-0.25432850482301694
,2.0,2,,2,2,1,1,0,0.0,1.0,2.0,2,1,0.0,1,2,2.0,2.0,2,1,1.0,2.0,,1.0,1.0,,2.0,2.0,1,2.0,2.0,2.0,2.0,2,2,,,2,2,2,1,2.0,2,1,2,0.0,1.0,0,2.0,2,2.0,2.0,,2,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1,2.0,1.0,1,2.0,2.0,2.0,2.0,,,,1,2,0.0,2,2.0,2.0,2,2.0,1.0,2.0,2.0,2,2.0,,,2.0,15,3,1.1954545454545455,-0.15737923389738373
2.0,2.0,2,,2,0,2,0,2,1.0,2.0,1.0,2,2,2.0,1,2,2.0,2.0,1,2,2.0,1.0,2.0,2.0,0.0,0.0,,,0,1.0,1.0,2.0,,2,2,,2.0,2,1,1,1,2.0,2,2,1,1.0,1.0,0,2.0,0,2.0,,0.0,1,1.0,2.0,2.0,2.0,2.0,,2.0,1,1.0,,1,2.0,0.0,2,1.0,2.0,2.0,1.0,,,2.0,1,2,1.0,1,0.0,2.0,2,1.0,2.0,,,1,2.0,,2.0,2.0,16,3,1.1754385964912282,-0.23202966573328002
2.0,,2,,0,2,1,1,2,0.0,2.0,2.0,2,1,0.0,1,0,2.0,2.0,1,1,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2,,1.0,2.0,0.0,2,1,2.0,2.0,1,2,2,2,2.0,1,1,2,2.0,2.0,2,2.0,2,,2.0,2.0,2,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1,2.0,0.0,1,2.0,2.0,2,0.0,2.0,,1.0,2.0,,2.0,2,2,2.0,2,,2.0,2,0.0,1.0,2.0,2.0,1,2.0,,2.0,,17,3,1.1674311926605505,-0.22549032678450034
0.0,,0,2.0,1,1,1,2,1,2.0,1.0,2.0,0,1,2.0,1,1,,2.0,1,0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,2,2.0,1.0,2.0,2.0,1,1,2.0,0.0,1,2,1,2,1.0,1,1,1,2.0,2.0,1,1.0,2,0.0,1.0,1.0,2,2.0,2.0,2.0,,2.0,,2.0,1,2.0,2.0,2,,2.0,2,2.0,2.0,,2.0,0.0,,,2,2,2.0,2,,,0,0.0,2.0,0.0,1.0,2,2.0,2.0,2.0,,18,3,1.1270983213429258,-0.2121570104967014
2.0,,1,,2,2,2,1,2,2.0,2.0,2.0,2,1,0.0,1,1,2.0,2.0,1,1,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,2,2.0,2.0,2.0,1.0,2,1,2.0,2.0,0,2,1,2,2.0,0,0,1,2.0,0.0,1,2.0,2,2.0,1.0,2.0,1,2.0,2.0,2.0,2.0,2.0,,2.0,1,2.0,2.0,1,,2.0,1,0.0,2.0,,2.0,2.0,,,2,0,0.0,2,2.0,2.0,1,2.0,2.0,2.0,2.0,2,0.0,0.0,2.0,,19,3,1.1837209302325582,-0.3963375542487643
2.0,2.0,0,2.0,2,1,2,1,2,2.0,2.0,2.0,0,1,2.0,1,2,,2.0,1,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1,2.0,1.0,1.0,2.0,1,0,2.0,2.0,1,2,1,1,2.0,1,1,1,2.0,2.0,0,2.0,1,2.0,2.0,2.0,0,1.0,2.0,2.0,2.0,0.0,,2.0,1,1.0,2.0,1,,1.0,1,2.0,2.0,,1.0,0.0,,2.0,2,1,2.0,0,2.0,2.0,1,0.0,2.0,1.0,1.0,2,0.0,2.0,2.0,2.0,20,3,1.1382113821138211,-0.4916765830418022
