,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,betha,seed,EPH,corr
0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1.0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,1,1,2,2,0,1,1,1,2,1,1,2,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,1,1,0,2,1,0,2.0,2.0,1,1,0.4,0,1.0618336886993602,-0.15423819875503517
1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,2,0.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,1,0.0,0.0,2,1,0.5,1,1.0436046511627908,-0.11715253777702675
2,2,2,1,2,1,1,1,1,0,2,1,1,1,1,2,1,0,1.0,2,1,1,1,1,0,1,1,1,1,2,2,1,1,1,1,2,0,1,2,1,2,1,0,2,1,0,2,1,1,0,1,0,1,1,1,1,1,1,1,2,2,1,2,2,2,0,1,1,1,1,1,2,2,1.0,0.0,2,1,0.4,2,1.1010830324909748,-0.242500340949753
3,3,0,1,1,0,1,1,1,1,1,1,0,1,1,2,1,1,1.0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1.0,0.0,1,0,0.6,3,1.0028818443804035,-0.188259381516793
4,4,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2.0,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,0,1,2,1,0,1,1,1,1,0,1,1,0,1,1,1,1,2,2,1,1,1,1,0,1,1.0,0.0,1,1,0.6,4,1.0238805970149254,-0.27117267174835985
5,5,2,1,1,1,1,2,1,0,0,1,1,1,1,2,1,0,0.0,2,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,0,0,1,1,1,2,2,2,2,2,2.0,1.0,0,1,0.6,5,1.017114914425428,-0.2807458882167584
6,6,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0,1,1,1,1,1,1,1,2,0,0,1,2,1,1,1,1,0,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2.0,2.0,0,2,0.6,6,1.026865671641791,-0.28663564427240557
7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,1,2,1,1,1,1,0,1,0,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,0,2,2,1,1,0,2,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,1,1,0,0,1,1,,0.0,1,1,0.4,7,1.0774193548387097,-0.1533968308592899
8,8,2,1,1,1,1,0,1,1,0,1,2,2,1,0,1,1,3.0,2,1,1,1,2,2,1,1,1,1,0,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,0,1,1,2,1,1,1,1,1,2,2,0,1,1,0,1,1,1,0,1,1,1,2.0,1.0,1,0,0.4,8,1.083673469387755,-0.18691675496779006
9,9,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2.0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,2,1,1,1,1.0,2.0,2,1,0.6,9,1.0089020771513353,-0.33330722983767924
10,10,0,1,2,1,1,1,1,1,0,0,1,2,1,1,1,0,1.0,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,2,2,1,0,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,2,2.0,2.0,0,1,0.5,10,1.0359550561797752,-0.09731238778707307
11,11,1,1,2,1,1,1,1,1,2,1,1,2,1,0,1,2,2.0,1,1,1,1,2,1,1,0,0,1,1,2,2,1,2,0,0,1,1,1,1,2,1,1,1,1,2,2,0,1,1,0,1,1,1,2,2,1,0,1,1,2,1,2,2,2,0,1,1,1,1,1,1,2,0.0,2.0,2,1,0.5,11,1.0772128060263653,-0.2287603908392259
12,12,1,1,0,0,1,0,0,1,1,1,1,1,1,2,1,1,2.0,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0,0,1,1,0,1,1,1,1,2,1,2,1,2,1,1,1,1,1,0,1,2,1,1.0,2.0,2,1,0.6,12,1.0339425587467364,-0.3007923806618674
13,13,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0.0,1,1,1,1,2,1,1,2,0,0,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,0,1,2,1,1,2.0,1.0,1,0,0.6,13,1.0305343511450382,-0.25092374472685663
14,14,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,2.0,1,1,1,1,2,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,1,1,1,1,1,2,1,2,2,0.0,1.0,1,1,0.4,14,1.0666666666666667,-0.26907085647544726
15,15,0,1,1,1,1,0,1,1,1,1,2,2,0,1,1,1,1.0,0,1,1,2,1,2,1,2,1,1,0,0,1,1,0,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,0,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,0.0,0.0,2,1,0.4,15,1.0673758865248226,-0.1182874144531315
