,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,theta,seed,q
12,1.0,1,0,0,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1,2,1,1,2,0.0,1,2.0,1.0,1,0,1.0,1,1,1.0,1.0,2.0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0,1.0,1,1,1,1.0,1,1,1,2.0,1,1,1,1,1,2,0,2,1,1,1.0,1,1,1.0,0,0,1,2,1,1,2.0,1,1,1.0,1,1,1,1,2,2.0,1,0.01,12,-1
13,1.0,2,2,2,1,2,1,1,2,1,1,1,1,1,1.0,1,0,1,1,1,1,1,1.0,1,1.0,0.0,0,1,1.0,1,2,1.0,1.0,1.0,2,1,2.0,2,1,1,1,1,1,1,1,1,0,1,0,1,1,2.0,2.0,2,0,1,2.0,1,0,1,1.0,2,1,1,2,1,0,1,2,1,2,2.0,1,2,0.0,1,2,1,2,2,2,2.0,0,1,1.0,1,1,1,1,2,1.0,1,0.01,13,-1
14,1.0,2,1,2,2,2,1,1,1,1,0,1,0,1,2.0,1,2,2,2,1,1,1,0.0,2,1.0,0.0,0,1,0.0,1,1,1.0,1.0,2.0,1,1,1.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2.0,2.0,2,2,1,1.0,2,2,1,1.0,0,1,1,2,1,2,1,2,1,2,0.0,1,1,2.0,1,1,1,2,1,0,1.0,1,1,2.0,1,2,1,0,2,1.0,2,0.01,14,-1
15,0.0,1,2,2,1,0,1,1,1,2,1,1,0,1,1.0,1,2,1,2,1,1,1,1.0,2,2.0,2.0,1,0,0.0,2,1,1.0,1.0,2.0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2.0,1.0,2,1,1,1.0,2,2,1,2.0,1,1,1,2,1,1,1,1,1,1,0.0,0,1,1.0,0,1,1,1,1,1,1.0,1,1,2.0,0,1,1,2,2,1.0,2,0.01,15,-1
16,1.0,1,2,2,0,1,1,1,1,1,2,1,1,1,1.0,1,0,1,1,1,1,1,1.0,1,1.0,1.0,1,2,2.0,1,0,0.0,1.0,1.0,1,1,2.0,2,2,1,1,0,1,1,1,1,1,1,1,2,1,1.0,2.0,1,1,1,2.0,1,0,1,1.0,1,1,1,2,0,1,1,0,0,1,1.0,1,2,1.0,1,1,1,1,1,1,1.0,1,1,2.0,2,2,1,2,2,1.0,2,0.01,16,-1
17,1.0,2,1,2,1,1,0,1,1,1,2,1,1,1,1.0,0,1,1,1,1,2,1,0.0,2,1.0,1.0,1,2,2.0,1,1,0.0,1.0,2.0,2,2,2.0,1,2,0,1,1,1,1,2,0,1,1,1,1,1,2.0,2.0,2,1,1,1.0,0,1,1,1.0,1,1,1,2,1,1,1,0,1,1,1.0,1,1,2.0,2,1,1,1,1,2,2.0,1,1,0.0,2,1,1,1,2,2.0,2,0.01,17,-1
18,2.0,2,1,2,1,2,1,1,0,1,1,1,1,2,2.0,1,1,0,1,0,1,1,2.0,1,0.0,1.0,2,1,1.0,1,1,2.0,2.0,2.0,1,1,1.0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,2.0,1.0,1,1,1,2.0,1,1,1,1.0,1,0,1,1,1,0,1,1,0,1,2.0,1,1,2.0,1,1,2,1,2,1,2.0,1,2,1.0,1,1,1,1,2,2.0,2,0.01,18,-1
19,1.0,2,1,1,1,0,1,1,1,2,1,1,1,1,2.0,1,1,2,1,0,1,1,0.0,1,2.0,1.0,1,1,1.0,1,1,0.0,1.0,2.0,0,1,1.0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1.0,0.0,1,2,1,0.0,1,1,2,2.0,1,1,2,1,1,0,2,2,1,1,2.0,1,1,0.0,1,1,1,2,1,2,1.0,1,1,1.0,1,1,1,1,1,1.0,2,0.01,19,-1
20,1.0,2,1,1,1,1,1,1,1,0,1,1,1,1,1.0,0,1,1,1,1,0,1,0.0,2,2.0,2.0,1,1,0.0,1,1,1.0,1.0,1.0,0,1,1.0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2.0,2.0,2,2,1,1.0,1,1,1,1.0,1,2,1,1,1,2,1,2,1,1,0.0,1,1,1.0,0,2,2,2,1,1,1.0,1,1,1.0,1,1,1,1,1,0.0,2,0.01,20,-1
21,1.0,1,2,2,0,1,1,1,1,1,2,1,1,1,2.0,1,2,2,2,1,1,2,1.0,1,2.0,1.0,1,1,1.0,1,2,1.0,1.0,2.0,1,0,1.0,2,1,1,2,1,1,1,2,1,1,2,0,1,1,1.0,1.0,1,1,1,0.0,1,1,1,0.0,1,1,0,1,1,2,2,1,1,1,1.0,0,0,0.0,1,2,1,1,0,2,2.0,1,1,2.0,1,1,1,1,2,1.0,1,0.01,21,-1
22,2.0,2,1,2,0,1,1,2,0,1,1,1,2,1,0.0,1,1,1,0,1,1,1,2.0,1,1.0,2.0,2,1,1.0,1,2,2.0,2.0,1.0,2,2,2.0,2,1,0,1,2,1,1,0,0,2,1,1,1,1,1.0,1.0,1,1,2,2.0,2,1,1,1.0,1,1,1,0,1,1,1,1,2,2,2.0,2,1,2.0,1,1,1,2,1,2,2.0,1,1,0.0,1,2,1,0,1,2.0,2,0.01,22,-1
23,1.0,2,1,2,1,1,1,1,1,2,2,1,1,1,2.0,1,1,1,2,1,1,1,1.0,1,2.0,0.0,1,2,1.0,1,1,0.0,1.0,2.0,2,2,2.0,2,1,0,0,1,1,1,1,1,1,1,1,2,1,2.0,2.0,2,0,1,2.0,2,1,2,2.0,1,1,1,1,1,2,1,2,1,1,1.0,1,0,2.0,1,0,1,2,1,1,1.0,2,0,2.0,1,1,1,2,2,0.0,0,0.01,23,-1
24,2.0,0,1,0,0,1,1,2,2,2,1,2,2,1,2.0,1,1,0,2,1,1,1,2.0,2,2.0,2.0,1,1,1.0,1,1,2.0,,2.0,0,1,1.0,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1.0,1.0,1,2,1,2.0,2,2,2,2.0,1,2,1,0,1,1,1,1,2,1,1.0,2,2,2.0,1,1,1,1,0,2,1.0,0,2,2.0,1,1,0,2,1,1.0,1,0.01,24,-1
25,3.0,2,1,2,0,1,1,2,0,1,1,1,1,1,1.0,0,1,2,1,1,1,1,2.0,0,1.0,2.0,2,1,0.0,1,2,3.0,2.0,1.0,1,2,2.0,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1.0,1.0,1,1,2,1.0,1,1,1,1.0,0,0,1,2,1,2,1,1,2,2,2.0,2,1,2.0,1,1,1,1,1,1,1.0,1,2,2.0,1,1,1,1,1,0.0,2,0.01,25,-1
26,1.0,1,1,2,1,1,0,1,1,1,2,1,1,1,1.0,1,1,1,1,1,2,2,1.0,2,1.0,1.0,1,2,2.0,1,1,1.0,0.0,2.0,2,1,2.0,2,1,1,1,1,2,1,2,1,1,1,0,2,1,1.0,1.0,0,1,1,2.0,1,1,1,1.0,1,0,1,2,0,1,1,0,1,1,1.0,1,2,2.0,1,1,0,1,1,1,1.0,1,0,2.0,1,1,1,1,2,0.0,1,0.01,26,-1
27,1.0,2,0,1,1,2,1,1,1,1,1,1,1,0,2.0,1,1,2,1,0,1,1,1.0,1,0.0,0.0,1,1,1.0,2,2,0.0,1.0,2.0,1,1,1.0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1.0,1.0,1,1,1,0.0,1,1,1,1.0,1,1,2,1,1,2,2,2,1,2,2.0,0,2,2.0,2,1,1,2,2,2,2.0,1,1,1.0,1,1,1,1,1,1.0,1,0.01,27,-1
28,1.0,0,1,0,1,0,1,1,1,2,2,1,0,1,1.0,1,1,2,1,1,2,2,0.0,0,2.0,2.0,1,1,2.0,1,1,1.0,0.0,2.0,1,1,1.0,1,2,1,1,2,1,2,2,1,2,2,1,1,2,0.0,1.0,1,2,1,1.0,2,2,2,2.0,2,1,1,0,1,1,2,1,1,1,2.0,1,1,1.0,1,1,2,2,1,2,1.0,2,1,2.0,1,1,0,2,2,1.0,2,0.01,28,-1
29,2.0,2,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,2,0.0,1.0,2,0,1.0,1,1,1.0,1.0,1.0,0,1,1.0,1,1,1,0,2,1,1,1,1,2,2,1,1,1,2.0,1.0,2,1,1,1.0,1,1,1,1.0,1,1,2,1,1,2,2,2,0,1,1.0,1,1,1.0,0,2,2,2,1,2,2.0,1,0,1.0,0,1,1,2,1,2.0,2,0.01,29,-1
30,2.0,2,0,1,1,2,1,2,1,1,1,1,0,1,1.0,1,1,0,1,1,1,1,2.0,0,2.0,1.0,2,1,2.0,1,1,2.0,2.0,2.0,1,1,1.0,0,1,1,1,2,1,1,1,0,0,1,1,1,1,1.0,1.0,0,2,2,1.0,2,1,2,2.0,2,1,1,2,1,2,1,1,2,1,2.0,2,1,2.0,1,1,1,2,1,2,2.0,2,1,2.0,2,1,2,2,1,2.0,2,0.01,30,-1
31,2.0,2,1,2,1,1,0,1,1,1,1,2,1,1,1.0,1,0,1,1,1,1,1,2.0,0,1.0,2.0,1,1,0.0,1,2,2.0,2.0,1.0,1,1,2.0,1,1,1,1,1,0,1,1,1,0,1,2,1,1,2.0,2.0,2,2,1,2.0,1,0,1,1.0,2,1,1,2,1,1,1,1,2,1,2.0,2,1,1.0,1,1,2,2,1,2,1.0,0,2,2.0,1,1,0,2,2,1.0,2,0.01,31,-1
32,2.0,2,1,0,1,0,1,2,1,1,1,1,1,1,2.0,1,1,2,1,0,1,1,2.0,1,2.0,2.0,1,1,1.0,1,1,2.0,2.0,1.0,1,1,1.0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,2.0,1.0,1,0,1,2.0,1,1,1,2.0,2,0,1,1,1,1,1,1,1,1,0.0,1,1,1.0,1,1,1,1,1,1,1.0,1,1,2.0,1,1,0,0,0,1.0,2,0.01,32,-1
33,2.0,1,1,2,1,2,1,0,1,1,1,1,1,1,1.0,1,1,2,0,1,0,1,1.0,1,1.0,1.0,2,1,1.0,1,1,1.0,1.0,1.0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,2.0,2,1,1,2.0,0,1,1,1.0,0,1,1,1,1,0,0,1,1,2,2.0,1,0,2.0,2,1,1,2,1,1,2.0,1,0,1.0,1,2,1,0,2,2.0,1,0.01,33,-1
34,2.0,1,2,2,1,1,2,1,1,1,2,0,1,1,1.0,1,1,1,0,1,1,1,2.0,2,2.0,1.0,1,1,1.0,0,1,1.0,2.0,0.0,1,0,1.0,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2.0,1.0,2,1,1,2.0,1,1,2,2.0,2,1,1,1,1,2,1,0,0,1,1.0,1,1,2.0,2,1,1,0,1,1,1.0,1,2,1.0,0,1,1,2,2,2.0,2,0.01,34,-1
35,1.0,1,2,2,1,1,1,1,1,1,2,0,1,1,1.0,0,1,2,1,1,1,1,1.0,1,2.0,1.0,1,1,1.0,1,2,1.0,1.0,0.0,2,2,2.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2.0,1.0,2,1,0,0.0,1,2,1,2.0,1,1,0,0,1,2,1,2,1,2,2.0,0,0,2.0,2,1,2,2,2,2,2.0,1,1,2.0,1,2,1,1,2,2.0,2,0.01,35,-1
36,1.0,2,1,1,1,0,0,1,1,0,1,1,1,1,1.0,1,1,1,2,1,1,2,1.0,1,1.0,2.0,1,2,1.0,1,0,1.0,1.0,0.0,1,2,2.0,0,1,1,0,2,1,1,0,1,1,2,1,1,2,2.0,2.0,2,1,0,2.0,1,1,1,1.0,1,2,2,2,1,2,1,1,1,1,1.0,2,1,1.0,1,1,1,1,1,1,1.0,1,2,1.0,2,1,1,1,1,0.0,2,0.01,36,-1
37,1.0,1,2,2,1,1,2,1,1,1,1,1,1,1,2.0,0,1,1,1,1,1,1,0.0,1,2.0,2.0,1,1,1.0,1,1,1.0,1.0,2.0,1,0,1.0,1,2,1,1,1,0,1,2,2,1,1,1,1,1,1.0,1.0,0,1,1,1.0,1,1,1,2.0,1,1,0,1,1,2,0,2,1,2,1.0,1,1,2.0,2,0,1,2,1,1,2.0,1,1,1.0,0,1,1,0,2,2.0,1,0.01,37,-1
38,2.0,2,0,1,0,1,1,1,1,1,1,2,2,1,1.0,2,1,1,1,1,1,2,2.0,0,2.0,1.0,2,2,2.0,2,1,1.0,1.0,0.0,1,2,2.0,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1.0,1.0,0,2,1,2.0,1,1,1,0.0,1,1,2,2,1,2,2,2,2,1,1.0,1,1,0.0,0,2,1,2,1,2,2.0,1,0,2.0,2,1,1,2,0,2.0,2,0.01,38,-1
39,1.0,2,1,2,0,1,1,1,2,0,1,1,1,1,1.0,1,1,1,1,1,0,1,1.0,2,1.0,1.0,1,1,1.0,1,1,0.0,1.0,1.0,1,1,2.0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1.0,1.0,1,1,1,2.0,1,1,0,1.0,1,1,1,0,1,2,1,1,1,0,1.0,1,2,1.0,0,1,2,1,1,1,1.0,1,1,1.0,1,1,1,1,2,2.0,1,0.01,39,-1
40,2.0,1,1,1,1,1,1,0,1,1,1,1,0,1,2.0,1,1,1,1,0,1,1,1.0,1,1.0,1.0,2,1,1.0,2,1,1.0,1.0,2.0,1,1,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2.0,2.0,2,1,1,0.0,1,1,1,1.0,1,1,1,1,0,1,1,1,1,0,0.0,1,2,2.0,1,1,1,1,1,1,1.0,1,1,2.0,2,1,1,1,1,2.0,0,0.01,40,-1
41,2.0,1,1,2,1,1,1,1,1,1,2,1,0,1,1.0,1,1,1,1,1,1,1,1.0,0,1.0,2.0,0,1,1.0,1,1,1.0,2.0,2.0,1,0,1.0,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2.0,1.0,2,1,1,0.0,1,1,1,1.0,1,1,1,0,0,1,1,1,2,1,2.0,1,1,2.0,1,1,1,1,1,0,2.0,1,2,2.0,0,1,1,2,0,1.0,2,0.01,41,-1
42,3.0,2,1,2,1,1,1,2,1,1,1,2,1,1,0.0,1,1,2,1,1,0,1,2.0,1,2.0,3.0,1,1,1.0,2,1,2.0,2.0,1.0,1,1,2.0,1,1,1,1,2,1,1,1,1,2,2,2,1,2,0.0,1.0,1,1,2,1.0,1,1,1,0.0,1,1,1,1,1,1,2,1,2,1,0.0,2,2,0.0,1,1,2,2,1,2,1.0,0,2,2.0,1,0,0,2,2,1.0,2,0.01,42,-1
43,3.0,2,1,2,1,1,1,1,1,1,1,1,2,1,1.0,1,0,0,1,1,1,0,2.0,1,1.0,2.0,2,2,1.0,2,1,2.0,2.0,1.0,1,1,2.0,2,2,1,1,1,1,1,1,1,2,1,2,0,1,0.0,1.0,1,1,2,2.0,1,0,0,1.0,1,1,1,0,1,1,1,0,2,1,1.0,2,2,1.0,1,1,2,1,1,1,1.0,1,2,2.0,1,2,1,2,2,1.0,0,0.01,43,-1
44,1.0,2,1,0,1,2,1,1,2,1,1,1,1,1,1.0,1,1,2,1,1,0,1,0.0,0,1.0,1.0,1,1,1.0,1,2,1.0,1.0,1.0,1,0,1.0,1,1,2,1,1,1,1,1,0,2,1,1,1,1,2.0,1.0,2,1,0,2.0,1,1,0,1.0,1,1,2,1,1,1,1,2,1,2,2.0,1,1,2.0,2,2,1,2,1,2,2.0,1,1,0.0,1,1,2,2,2,2.0,2,0.01,44,-1
45,1.0,1,2,0,1,1,1,1,1,1,2,1,1,1,1.0,0,2,1,1,1,1,1,1.0,2,1.0,2.0,2,1,1.0,1,0,1.0,0.0,2.0,1,0,1.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2.0,1.0,2,1,2,1.0,1,1,1,1.0,0,1,1,1,0,1,1,0,1,1,1.0,1,1,1.0,0,1,1,1,1,1,1.0,1,1,2.0,0,1,1,1,2,1.0,2,0.01,45,-1
46,2.0,2,1,2,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,0,0,1,1,2.0,1,1.0,2.0,2,0,1.0,1,2,1.0,1.0,2.0,1,1,1.0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,2.0,2.0,2,1,1,1.0,1,0,1,0.0,0,1,1,1,1,2,1,1,0,1,1.0,1,1,1.0,0,1,1,2,1,0,2.0,1,2,2.0,1,1,1,1,2,1.0,2,0.01,46,-1
47,2.0,2,1,2,1,2,0,0,0,1,1,1,2,1,1.0,1,1,2,1,1,2,1,1.0,0,1.0,1.0,1,1,1.0,1,1,1.0,1.0,2.0,2,2,2.0,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0.0,1.0,1,1,1,2.0,1,1,0,1.0,1,1,1,2,1,2,1,2,1,2,0.0,0,1,2.0,1,1,2,2,1,0,1.0,2,1,2.0,1,1,2,1,2,1.0,2,0.01,47,-1
48,0.0,1,1,1,1,1,2,1,1,2,1,1,2,1,1.0,2,2,1,1,1,1,2,1.0,2,2.0,1.0,1,2,1.0,1,1,1.0,1.0,2.0,0,1,1.0,2,2,1,1,2,1,1,2,1,2,2,0,1,2,0.0,1.0,1,2,1,2.0,2,2,2,2.0,1,1,1,0,1,2,2,0,1,0,1.0,1,2,2.0,1,1,1,1,1,2,0.0,2,1,2.0,1,1,1,1,1,1.0,0,0.01,48,-1
49,2.0,2,1,2,1,0,1,1,1,2,1,1,0,1,2.0,1,1,2,0,1,1,1,2.0,1,2.0,2.0,2,1,1.0,1,1,1.0,1.0,2.0,1,1,0.0,1,1,1,0,1,0,1,1,0,2,1,1,0,1,2.0,1.0,2,0,1,1.0,2,1,2,2.0,2,1,1,2,1,2,1,1,0,1,2.0,1,1,1.0,1,1,1,1,1,2,1.0,1,1,2.0,1,1,1,2,2,1.0,2,0.01,49,-1
50,1.0,2,0,1,0,0,1,1,1,2,1,0,1,1,1.0,1,1,1,1,1,1,2,0.0,1,2.0,1.0,1,2,2.0,2,1,1.0,1.0,0.0,1,2,2.0,1,1,1,1,2,2,1,1,1,2,2,0,1,2,1.0,2.0,1,1,1,2.0,2,2,2,2.0,2,2,1,2,1,2,2,1,1,0,0.0,1,1,1.0,1,1,1,1,1,2,1.0,1,1,2.0,1,1,1,1,2,1.0,1,0.01,50,-1
51,2.0,2,1,1,1,2,1,1,1,1,1,1,2,1,1.0,1,0,1,1,1,1,0,2.0,1,1.0,2.0,2,1,0.0,2,2,2.0,2.0,1.0,1,1,2.0,0,1,2,1,1,1,1,1,1,2,1,1,1,1,1.0,0.0,1,1,1,2.0,0,1,1,0.0,1,1,2,1,1,1,1,2,0,2,,1,0,2.0,2,2,2,2,2,1,2.0,1,2,2.0,1,1,2,2,1,1.0,2,0.01,51,-1
52,1.0,2,1,1,1,2,1,1,1,2,1,0,2,0,1.0,2,1,2,1,1,1,2,1.0,0,2.0,1.0,1,1,0.0,2,2,1.0,0.0,2.0,1,1,2.0,1,1,2,1,2,1,1,1,2,2,2,1,1,2,2.0,1.0,2,1,1,2.0,1,2,2,2.0,1,2,2,1,2,3,2,2,0,2,2.0,1,1,3.0,2,2,2,2,1,2,2.0,1,1,3.0,1,0,2,2,2,1.0,0,0.01,52,-1
53,1.0,1,1,1,2,2,1,1,2,1,1,1,0,2,2.0,1,2,2,1,2,1,1,0.0,1,1.0,0.0,1,1,2.0,0,1,1.0,1.0,2.0,1,1,1.0,0,2,1,1,1,1,2,2,1,1,1,0,1,1,1.0,2.0,2,1,1,1.0,1,0,1,1.0,0,1,0,2,1,2,1,2,1,2,2.0,1,1,1.0,2,1,1,2,2,1,2.0,2,1,1.0,1,1,2,0,1,2.0,1,0.01,53,-1
54,2.0,2,0,1,1,2,0,0,1,0,1,1,1,1,1.0,0,1,0,1,1,1,1,1.0,0,2.0,1.0,1,1,2.0,1,1,1.0,1.0,2.0,1,2,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,0.0,1,1,1,1.0,1,1,1,0,1,2,1,1,0,1,2.0,1,1,2.0,1,1,1,2,2,2,2.0,1,1,1.0,2,1,1,1,2,2.0,2,0.01,54,-1
55,1.0,1,1,1,1,2,1,1,1,1,2,1,2,2,1.0,1,1,1,2,2,1,1,1.0,1,1.0,1.0,0,2,2.0,0,1,1.0,1.0,0.0,1,2,2.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2.0,2.0,2,1,0,2.0,1,1,1,1.0,0,1,1,2,1,2,1,2,1,2,2.0,0,2,2.0,2,1,0,2,1,1,2.0,2,1,1.0,2,1,1,1,1,2.0,0,0.01,55,-1
56,1.0,2,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,1,2,1,1,1,1,0.0,1,1.0,1.0,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1.0,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2.0,1.0,2,1,0,1.0,0,1,1,1.0,1,1,1,0,1,1,1,1,1,1,2.0,1,1,2.0,1,1,2,2,1,1,1.0,1,1,2.0,0,1,0,1,1,0.0,2,0.01,56,-1
57,1.0,2,1,1,1,0,1,1,1,1,2,1,1,2,2.0,1,1,1,2,2,1,2,0.0,1,2.0,2.0,1,1,2.0,1,1,1.0,1.0,2.0,1,1,2.0,0,1,1,0,2,1,1,1,1,2,2,1,1,1,2.0,2.0,2,1,1,0.0,1,2,2,2.0,2,2,1,2,1,2,2,1,1,1,1.0,0,1,1.0,1,1,1,1,0,2,0.0,1,1,2.0,1,0,1,2,1,1.0,1,0.01,57,-1
