,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,theta,seed,q,EPH,corr
1239,1239,6.0,5.0,6.0,3.0,0.0,6.0,1.0,2.0,6.0,0.0,6.0,3.0,4.0,0.0,2.0,5.0,6.0,5.0,5.0,5.0,0.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,0.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,6.0,6.0,0.0,3.0,6.0,2.0,1.0,3.0,5.0,0.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,0.0,6.0,7.0,1.0,5.0,0.0,4.0,5.0,2.0,5.0,4.0,0.0,6.0,5.0,6.0,1.0,0.3,39,-1,2.5579171094580233,-0.16505732267687823
1240,1240,4.0,1.0,4.0,4.0,7.0,4.0,1.0,0.0,5.0,5.0,3.0,7.0,0.0,7.0,6.0,4.0,3.0,5.0,5.0,0.0,4.0,6.0,4.0,6.0,6.0,5.0,6.0,1.0,6.0,5.0,6.0,0.0,2.0,2.0,1.0,7.0,5.0,0.0,6.0,2.0,4.0,7.0,6.0,2.0,7.0,7.0,5.0,6.0,4.0,7.0,0.0,2.0,6.0,5.0,4.0,3.0,0.0,1.0,5.0,5.0,8.0,9.0,7.0,3.0,3.0,0.0,1.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,7.0,0.3,40,-1,3.235897435897436,0.027990914390870508
1241,1241,3.0,1.0,3.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,0.0,4.0,2.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,,2.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,0.3,41,-1,1.6229508196721314,-0.16977583546973776
1242,1242,5.0,4.0,0.0,4.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,0.0,4.0,6.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,2.0,4.0,5.0,6.0,2.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,5.0,5.0,0.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,0.0,1.0,2.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,0.0,4.0,6.0,0.0,0.3,42,-1,2.410456062291435,-0.05174327023298938
1243,1243,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,,1.0,,,,,0.3,43,-1,1.930327868852459,-0.5200216680209274
1244,1244,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,1.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,1.0,,,,,,,0.3,44,-1,1.7979094076655053,0.0
1245,1245,6.0,7.0,8.0,0.0,7.0,8.0,5.0,3.0,6.0,4.0,8.0,6.0,4.0,6.0,0.0,0.0,6.0,5.0,4.0,6.0,1.0,2.0,1.0,4.0,3.0,1.0,6.0,4.0,2.0,6.0,0.0,4.0,0.0,2.0,5.0,0.0,5.0,3.0,5.0,7.0,8.0,2.0,5.0,7.0,6.0,2.0,3.0,5.0,7.0,5.0,8.0,5.0,5.0,0.0,5.0,3.0,7.0,2.0,7.0,7.0,1.0,0.0,6.0,5.0,6.0,0.0,7.0,6.0,0.0,5.0,4.0,7.0,6.0,7.0,7.0,0.3,45,-1,3.188078108941418,-0.08979936784790282
1246,1246,,,0.0,,,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,1.0,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,0.0,,,,,,,,0.0,,2.0,0.0,1.0,,0.3,46,-1,2.6732673267326734,-0.40103794908291723
1247,1247,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,0.3,47,-1,1.0,0.0
1248,1248,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.3,48,-1,1.0,0.0
