0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
,,0.0,,3.0,3,3.0,2.0,3.0,3.0,2.0,,3.0,0.0,2.0,3.0,0.0,,,2,2.0,,0.0,,0.0,,,3.0,3.0,,,3.0,3.0,0.0,3.0,3.0,,3.0,2.0,3.0,2.0,3.0,,2.0,1.0,3.0,,3.0,3.0,3.0,3.0,,3.0,,,3.0,,3.0,3.0,3.0,0.0,2.0,2,,,1,3.0,3.0,0.0,,,,,3.0,,,0.0,3.0,3.0,,0.0,,3.0,,3.0,3.0,,3.0,,,,,0,5,1.748062015503876,-0.18087696787930246
,,3.0,,3.0,2,3.0,2.0,3.0,2.0,,3.0,3.0,3.0,2.0,1.0,3.0,,,2,3.0,3.0,,,2.0,,,3.0,,2.0,3.0,,,,,,,,2.0,0.0,3.0,2.0,,3.0,0.0,3.0,3.0,2.0,3.0,,2.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,3.0,2.0,1,2.0,,1,,2.0,3.0,2.0,3.0,,,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,,0.0,,,3.0,1.0,,,,1,5,1.6149425287356323,0.18007244006715914
,,0.0,,2.0,3,2.0,3.0,2.0,3.0,2.0,,2.0,0.0,0.0,2.0,0.0,,2.0,1,1.0,0.0,3.0,0.0,,,3.0,1.0,2.0,3.0,3.0,3.0,,2.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,,3.0,0.0,3.0,3.0,3.0,,3.0,2,3.0,1.0,2,,3.0,1.0,3.0,3.0,0.0,3.0,3.0,,3.0,1.0,3.0,2.0,2.0,,3.0,1.0,,0.0,3.0,3.0,2.0,3.0,,3.0,,2,5,1.4744801512287335,-0.24136370626269874
,,3.0,,3.0,2,3.0,2.0,2.0,0.0,,,3.0,2.0,3.0,3.0,2.0,3.0,,3,3.0,3.0,,,2.0,3.0,,3.0,3.0,3.0,2.0,3.0,,,3.0,2.0,,,3.0,3.0,2.0,2.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,,0.0,,2.0,0.0,,3.0,0.0,2.0,3.0,3.0,1,3.0,,1,,2.0,0.0,1.0,0.0,3.0,3.0,,,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0,3.0,2.0,,,0.0,,3,5,1.64,-0.11682050895129654
,,1.0,,2.0,3,2.0,3.0,2.0,3.0,0.0,,3.0,0.0,0.0,2.0,2.0,2.0,3.0,2,1.0,3.0,3.0,3.0,3.0,,3.0,2.0,2.0,3.0,2.0,,,3.0,2.0,0.0,3.0,,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,,3.0,3.0,3.0,3.0,2.0,3.0,0,3.0,3.0,1,,2.0,0.0,,3.0,3.0,,1.0,,3.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,,3.0,3.0,3.0,3.0,,0.0,3.0,,4,5,1.552325581395349,-0.3096317890138846
3.0,,1.0,,2.0,3,2.0,3.0,2.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,,,1,0.0,3.0,3.0,3.0,,3.0,3.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,,,,3.0,2,3.0,3.0,2,,3.0,3.0,3.0,3.0,,3.0,3.0,0.0,,3.0,2.0,3.0,3.0,,,1.0,3.0,,2.0,2.0,3.0,3.0,,,,5,5,1.4792452830188678,-0.3238807496803633
0.0,,2.0,,3.0,3,3.0,3.0,3.0,2.0,3.0,,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1,0.0,,3.0,0.0,,,,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,,0.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,3.0,,,2.0,3.0,3.0,,,,3.0,0.0,,3.0,,0.0,,3.0,3,,0.0,2,,3.0,3.0,,,,3.0,2.0,,,3.0,3.0,,,,,3.0,3.0,3.0,,,3.0,,,,,6,5,1.7406015037593985,0.015437944530594865
,,2.0,,3.0,2,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,0.0,2.0,,0.0,1,1.0,1.0,0.0,3.0,2.0,,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,,3.0,,3.0,,3.0,2.0,0.0,2.0,3.0,2.0,0,3.0,,1,0.0,2.0,3.0,,3.0,,3.0,3.0,,3.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,,,7,5,1.6007827788649707,-0.2985095062983483
,0.0,3.0,0.0,1.0,2,2.0,3.0,,3.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,,3.0,0,3.0,2.0,,,2.0,,,3.0,,3.0,3.0,3.0,,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,,3.0,0.0,,,,2.0,,3.0,1.0,0.0,2.0,3.0,1.0,2,3.0,,1,3.0,1.0,3.0,,,,,,,,2.0,3.0,3.0,3.0,0.0,3.0,3.0,,3.0,,3.0,0.0,,0.0,,,8,5,1.6219281663516067,-0.04090441731116002
,,1.0,0.0,3.0,2,0.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,,3.0,1,0.0,2.0,3.0,3.0,3.0,,0.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,,0.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,0.0,2,1.0,3.0,2,3.0,2.0,3.0,,3.0,,3.0,3.0,,,0.0,2.0,3.0,2.0,3.0,3.0,2.0,,3.0,3.0,3.0,3.0,3.0,,,,9,5,1.5045703839122486,-0.4170122439541796
,,2.0,0.0,2.0,2,1.0,3.0,3.0,,3.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,0,1.0,3.0,3.0,3.0,3.0,,,2.0,2.0,3.0,,3.0,,3.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,,3.0,0.0,0.0,3.0,3.0,3.0,,0.0,2,3.0,,1,,3.0,3.0,,3.0,,,3.0,,,3.0,3.0,3.0,3.0,,,2.0,,3.0,3.0,3.0,3.0,,0.0,,,10,5,1.6401515151515151,-0.2698433678060209
