0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,simple_param,EPH,corr
,,0.0,3.0,3.0,2.0,5.0,,5.0,,3.0,,1.0,0.0,4.0,4.0,0.0,,,2.0,1.0,3.0,0.0,,0.0,5.0,,,4.0,,2.0,,,0.0,5.0,,3.0,,3.0,,1.0,3.0,5.0,3.0,1.0,3.0,4.0,4.0,,4.0,3.0,,2.0,,,,,,2.0,,0.0,,5.0,,2.0,4.0,,3.0,0.0,,,4.0,,,,5.0,0.0,,3.0,3.0,0.0,,4.0,,,5.0,,2.0,4.0,,,,0,0.03,2.8411867364746946,-0.08553491940668673
5.0,6.0,,,5.0,5.0,4.0,,,,,,2.0,4.0,5.0,3.0,3.0,7.0,,3.0,,7.0,,,,,,1.0,4.0,4.0,,,,,,7.0,7.0,,6.0,0.0,2.0,,7.0,,0.0,,6.0,,,2.0,6.0,,5.0,0.0,0.0,5.0,0.0,,,0.0,7.0,,3.0,,,1.0,,7.0,5.0,,3.0,,,0.0,0.0,5.0,6.0,5.0,4.0,7.0,,0.0,4.0,7.0,0.0,4.0,,6.0,,,5.0,,1,0.03,3.7830687830687832,-0.10548081835400505
6.0,,0.0,,7.0,7.0,5.0,,,,4.0,,5.0,0.0,0.0,7.0,0.0,,,1.0,4.0,0.0,6.0,0.0,,,4.0,3.0,,,,,,,,0.0,3.0,,5.0,7.0,7.0,7.0,4.0,5.0,3.0,,,,,,1.0,,3.0,,3.0,,0.0,,,,,5.0,,,3.0,4.0,,7.0,,,,0.0,5.0,7.0,,,7.0,,,,5.0,3.0,7.0,,0.0,6.0,,,7.0,,4.0,,2,0.03,3.8116760828625234,0.12706027874826337
,6.0,1.0,,,1.0,6.0,6.0,,0.0,6.0,,,4.0,,6.0,6.0,,6.0,5.0,2.0,,4.0,,5.0,,1.0,2.0,6.0,6.0,4.0,5.0,,,,5.0,6.0,2.0,,5.0,3.0,,6.0,4.0,5.0,0.0,3.0,,5.0,,,,0.0,3.0,3.0,0.0,,4.0,0.0,4.0,5.0,,2.0,4.0,5.0,4.0,,2.0,0.0,,0.0,,,,6.0,5.0,,,6.0,1.0,,5.0,3.0,6.0,0.0,0.0,,6.0,,,0.0,,3,0.03,3.1669291338582677,-0.09741886333739005
,,3.0,,3.0,5.0,2.0,3.0,4.0,4.0,0.0,,,0.0,0.0,3.0,1.0,4.0,,4.0,5.0,4.0,5.0,,,,,,,,,4.0,5.0,,3.0,0.0,,,4.0,,3.0,5.0,5.0,2.0,,4.0,5.0,0.0,5.0,4.0,,4.0,3.0,0.0,,4.0,,3.0,2.0,4.0,,5.0,0.0,3.0,,1.0,,,0.0,,,3.0,,,4.0,,4.0,5.0,,,0.0,5.0,5.0,,2.0,,2.0,3.0,,0.0,5.0,,4,0.03,2.652892561983471,-0.014581897872021217
,,4.0,,2.0,3.0,5.0,6.0,4.0,,0.0,,,2.0,2.0,5.0,4.0,,,2.0,0.0,,,6.0,,,,3.0,0.0,,,5.0,,,0.0,2.0,,0.0,4.0,6.0,0.0,,1.0,2.0,5.0,5.0,,,6.0,0.0,,6.0,0.0,,0.0,4.0,6.0,,5.0,,,6.0,6.0,1.0,,4.0,,5.0,6.0,5.0,3.0,6.0,6.0,3.0,0.0,4.0,6.0,2.0,3.0,,,,1.0,,6.0,5.0,5.0,3.0,,,,,5,0.03,2.8981937602627257,-0.031010606011637888
0.0,1.0,,5.0,,1.0,4.0,,5.0,,4.0,,,4.0,2.0,4.0,3.0,1.0,,4.0,0.0,2.0,,0.0,,,,4.0,4.0,,0.0,,,2.0,,5.0,,0.0,0.0,0.0,1.0,,4.0,,,2.0,,,,,,,,,1.0,0.0,5.0,,5.0,0.0,,,4.0,,0.0,5.0,,3.0,3.0,,,,,1.0,,,,1.0,3.0,4.0,,,3.0,,2.0,,,1.0,5.0,,2.0,,6,0.03,3.066420664206642,0.167265438522202
,,2.0,,,,,1.0,4.0,,1.0,4.0,3.0,3.0,,0.0,1.0,4.0,0.0,,3.0,,0.0,,,4.0,2.0,,4.0,3.0,,,,4.0,,2.0,,0.0,2.0,4.0,4.0,,4.0,0.0,3.0,,2.0,4.0,3.0,,4.0,,,,,,1.0,,0.0,,,,0.0,4.0,,1.0,0.0,2.0,2.0,,4.0,4.0,4.0,3.0,,,,,0.0,3.0,,,0.0,,1.0,,,,,2.0,,,7,0.03,2.619565217391304,-0.21432022088190197
6.0,0.0,3.0,0.0,3.0,2.0,4.0,5.0,2.0,,,0.0,0.0,,,3.0,5.0,,,0.0,1.0,6.0,,,6.0,,,3.0,4.0,4.0,6.0,,,,2.0,,6.0,,6.0,1.0,5.0,,1.0,,1.0,5.0,6.0,3.0,,4.0,0.0,,6.0,,3.0,6.0,,,0.0,2.0,5.0,6.0,6.0,6.0,,4.0,2.0,4.0,,5.0,,,4.0,,,,6.0,,,6.0,0.0,4.0,,,,5.0,3.0,0.0,,0.0,,,8,0.03,3.224222585924714,0.015557394033484303
,5.0,5.0,0.0,,,0.0,3.0,3.0,3.0,4.0,,4.0,5.0,,1.0,,,,3.0,0.0,,4.0,5.0,,,0.0,5.0,0.0,4.0,4.0,5.0,,5.0,2.0,,4.0,1.0,0.0,,1.0,,,4.0,3.0,0.0,0.0,,3.0,,,5.0,,,5.0,1.0,,5.0,4.0,2.0,,0.0,,,5.0,3.0,,4.0,,,,,,,,,0.0,5.0,,4.0,,4.0,2.0,3.0,5.0,5.0,2.0,5.0,4.0,,,,9,0.03,2.8234295415959254,-0.16733034664519758
