0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
3,3,0,2,2,2,0,2,1,2,2,2,1,1,1,1,2,3,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,0,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,0,1,3,2,1,3,2,3,0,2,3,3,2,2,2,2,3,3,0,2,0,2,2,2,2,0,3,3,14,3,1.2193995381062355,-0.4497520886432872
3,2,2,3,2,2,1,1,0,0,1,2,2,1,0,1,2,2,2,2,1,1,2,3,1,1,3,2,2,1,2,2,2,2,2,2,3,3,2,2,2,1,2,2,1,2,0,1,0,2,2,2,2,3,2,2,2,1,0,0,1,0,1,1,0,1,2,1,1,2,2,2,2,3,3,3,1,2,0,2,2,2,2,2,1,2,2,2,2,3,3,2,15,3,1.1954545454545455,-0.4050785111229602
2,2,2,3,2,0,2,0,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,0,0,3,3,0,1,1,2,3,2,2,3,2,2,1,1,1,2,2,2,1,1,1,0,2,0,2,3,0,1,1,2,2,2,2,3,2,1,2,3,1,2,0,2,1,2,2,1,3,3,2,1,2,1,1,0,2,2,1,2,3,3,1,2,3,2,2,16,3,1.1771058315334773,-0.39878936939077086
2,3,2,3,0,2,1,1,2,0,2,2,2,1,0,1,0,3,2,1,1,2,1,2,2,2,2,1,0,2,3,1,2,0,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,3,2,2,2,1,2,2,2,0,2,2,1,2,0,1,2,2,2,0,2,3,1,2,3,2,2,2,2,2,3,2,2,0,1,2,2,1,2,3,2,3,17,3,1.1700680272108843,-0.4080849065254954
0,3,0,2,1,1,1,2,1,2,1,2,0,1,2,1,1,3,2,1,0,2,1,1,3,2,2,1,1,2,2,1,2,2,1,1,2,0,1,2,1,2,1,1,1,1,2,2,1,1,2,0,1,2,2,2,2,2,3,2,3,2,1,2,2,2,3,2,2,2,2,3,2,0,4,3,2,2,2,2,3,3,0,0,2,0,1,2,2,2,2,3,18,3,1.138095238095238,-0.42668383868027904
2,3,1,3,2,2,2,1,2,2,2,2,2,1,0,1,1,2,2,1,1,2,2,2,2,2,3,1,1,2,2,2,2,1,2,2,2,2,0,2,1,2,2,0,0,1,2,0,1,2,2,2,1,2,1,2,2,2,2,2,3,2,1,2,2,1,3,2,1,0,2,3,2,2,3,3,2,0,0,2,2,2,1,2,2,2,2,2,0,0,2,3,19,3,1.1888111888111887,-0.5252901714375798
2,2,0,2,2,1,2,1,2,2,2,2,0,1,2,1,2,3,2,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,0,2,2,1,2,1,1,2,1,1,1,2,2,0,2,1,2,2,2,0,1,2,2,2,0,3,2,1,1,2,1,3,1,1,2,2,3,1,0,3,2,2,1,2,0,2,2,1,0,2,1,1,2,0,2,2,2,20,3,1.1414141414141414,-0.5774677323659044
2,3,1,0,2,2,2,2,1,2,0,1,2,0,2,1,1,2,2,0,1,0,1,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,0,2,1,1,2,2,2,0,1,2,1,2,0,1,2,2,1,2,2,2,1,2,2,1,2,1,2,0,2,3,2,2,3,3,1,1,0,2,2,2,1,2,2,1,2,2,2,3,3,3,21,3,1.1517094017094016,-0.48535232435459086
3,3,2,3,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,3,3,1,2,2,1,2,3,0,2,2,2,2,2,2,2,2,0,0,1,2,2,2,2,2,2,3,2,3,2,3,0,0,2,2,3,2,1,2,3,1,3,1,2,0,0,2,3,2,0,1,2,2,2,1,2,0,2,3,2,2,1,1,2,3,2,0,22,3,1.2095671981776766,-0.34073069040402015
3,2,2,0,2,2,2,1,2,0,2,2,2,2,2,1,2,2,2,2,2,1,2,3,0,3,3,0,3,0,1,3,3,3,1,2,3,1,2,1,2,1,2,2,2,2,1,0,2,3,1,2,3,3,1,2,2,1,0,1,1,0,1,1,3,1,2,0,2,3,2,3,3,3,0,2,2,2,2,1,1,2,2,3,1,3,2,2,3,3,2,3,23,3,1.1928571428571428,-0.34245088600133616
2,3,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,3,2,2,0,2,1,1,3,2,2,1,2,0,2,1,1,2,1,2,2,0,2,2,1,2,1,2,1,2,2,2,0,2,2,2,2,3,1,2,0,2,3,3,3,0,2,1,3,2,3,2,3,2,3,4,0,2,0,3,3,2,3,2,3,3,1,2,2,2,0,2,2,0,3,3,24,3,1.2186147186147187,-0.29236084501605214
0,1,2,3,1,1,0,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,2,1,1,1,1,2,1,2,2,0,1,1,1,2,2,0,2,1,1,2,2,0,2,2,1,1,0,2,1,2,0,2,2,0,3,2,2,3,2,2,2,1,1,2,2,0,2,1,1,1,1,2,3,2,2,25,3,1.1397379912663756,-0.5423964821282571
2,3,1,2,1,0,1,2,0,2,1,2,1,1,2,1,1,2,0,1,0,2,2,2,2,2,2,1,1,2,2,0,2,2,0,1,2,2,1,2,1,2,1,0,1,1,2,2,1,1,2,1,1,2,2,2,2,2,3,2,2,1,2,0,2,1,3,2,1,3,1,3,2,1,3,2,2,2,2,1,3,2,1,2,2,0,0,2,2,2,2,2,26,3,1.1738095238095239,-0.5030850163499577
2,3,2,3,2,1,2,1,2,2,2,2,2,2,2,1,1,2,0,1,1,1,0,2,1,2,2,0,2,2,0,2,2,3,2,2,3,2,2,1,2,0,2,2,2,0,2,1,2,2,0,3,2,3,1,2,2,2,0,1,2,2,1,2,0,1,2,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,1,2,3,2,0,2,3,2,3,27,3,1.1976470588235295,-0.5137326431436154
2,2,2,3,2,1,0,2,2,1,2,2,2,1,0,1,1,2,2,1,1,0,2,2,1,2,2,2,2,1,0,2,2,2,2,2,3,3,2,1,0,1,2,2,2,1,1,1,2,2,1,3,2,3,1,1,2,0,0,1,2,1,1,2,2,1,0,0,2,3,2,3,2,3,2,2,2,2,1,2,2,2,1,0,1,3,2,1,3,3,2,3,28,3,1.1783295711060948,-0.507132827939521
3,3,1,2,2,0,2,2,1,2,0,2,2,2,2,1,1,2,2,0,1,2,1,1,2,2,2,1,1,2,1,2,3,2,1,2,2,0,1,1,1,0,0,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,1,0,2,1,3,2,1,3,0,2,2,0,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,3,0,3,29,3,1.1688888888888889,-0.45573798645964386
0,2,2,3,2,1,2,2,0,1,2,2,2,2,2,1,1,2,2,1,2,0,2,2,0,2,2,2,2,2,1,2,2,3,0,2,3,3,2,2,1,1,1,2,2,2,2,1,2,2,1,3,3,3,1,1,2,1,1,0,1,1,1,2,3,1,2,0,1,2,0,2,0,2,2,2,2,2,1,1,2,0,2,2,1,2,2,1,3,3,2,3,30,3,1.1948955916473318,-0.4398839831902354
0,3,1,3,1,2,2,0,0,2,2,2,2,2,3,2,1,2,2,1,1,2,2,2,3,2,2,2,2,2,1,2,2,2,0,2,0,3,2,2,2,2,2,1,2,0,2,1,1,2,0,0,2,0,1,1,3,3,2,2,3,2,2,2,3,1,2,2,2,2,2,0,2,3,3,2,2,2,2,1,3,2,2,2,3,2,2,2,2,3,2,3,31,3,1.2401847575057736,-0.4247845172256898
2,3,0,2,1,1,1,2,1,2,1,2,1,0,2,2,1,2,2,1,1,2,2,1,2,2,2,0,2,1,2,1,1,2,1,1,0,1,1,2,0,2,2,1,1,1,2,2,0,2,2,2,2,2,2,1,2,2,2,2,3,2,1,2,2,1,3,2,1,2,0,2,0,2,3,2,2,1,1,0,2,2,1,2,2,1,1,2,2,0,2,1,32,3,1.1505882352941177,-0.4711837574623669
2,3,0,2,0,1,0,1,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,0,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,0,1,2,2,2,2,2,2,0,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,3,2,0,1,2,0,2,2,1,0,2,2,2,1,2,2,2,0,33,3,1.138157894736842,-0.5908850753737867
2,2,1,2,0,1,1,1,1,1,0,2,1,1,2,0,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,0,1,2,1,1,0,2,1,1,0,1,2,2,2,2,1,2,2,2,1,2,0,1,1,2,0,2,1,2,2,2,3,2,2,3,2,1,1,2,1,2,2,1,2,1,2,2,2,0,2,2,0,34,3,1.1135857461024499,-0.5740876414669053
2,3,2,3,2,1,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,0,2,2,0,2,2,2,2,1,1,2,3,1,0,2,3,2,2,2,1,2,2,2,2,2,2,2,0,2,3,2,3,0,1,2,2,1,2,2,1,1,2,2,0,2,1,1,1,2,2,1,2,2,0,0,2,1,1,2,1,1,2,0,2,2,1,2,3,0,2,35,3,1.1832229580573952,-0.46059330767814344
2,3,0,0,2,2,2,2,2,2,2,2,0,1,2,1,1,3,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,0,2,1,1,2,1,1,2,1,1,1,2,1,0,2,0,2,2,2,2,2,2,2,2,0,3,2,1,2,2,1,2,1,2,0,2,3,2,2,3,3,2,2,2,2,0,3,1,2,2,2,2,2,2,0,2,2,36,3,1.1738148984198646,-0.45341484697507173
2,3,2,3,1,0,1,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,3,2,2,0,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,0,0,2,1,0,0,1,2,2,1,3,2,2,2,1,2,0,3,3,2,1,1,1,2,2,0,0,2,2,2,2,1,0,3,2,3,37,3,1.1648106904231625,-0.42762405801261477
2,3,2,3,2,2,1,1,2,1,2,2,2,1,0,1,0,2,2,1,1,1,0,2,0,2,2,2,2,2,2,1,2,2,2,2,3,2,2,1,0,1,2,2,1,1,2,1,2,2,0,3,2,3,2,2,2,2,0,1,2,2,1,2,0,1,0,1,2,2,2,3,2,3,3,2,2,2,2,2,0,2,2,2,1,3,3,1,2,3,2,3,38,3,1.18140589569161,-0.46898768230754523
2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,0,2,0,2,2,2,0,0,2,1,0,3,1,2,3,3,2,0,1,1,0,2,1,2,2,1,1,2,0,2,3,3,1,2,2,2,2,1,2,0,1,1,3,1,2,1,0,2,2,3,2,1,3,3,2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,2,39,3,1.1995614035087718,-0.5028269241970297
3,2,2,3,2,2,2,1,2,2,2,2,2,1,2,1,2,0,2,1,1,2,2,3,2,2,3,2,2,1,1,2,0,2,2,1,2,3,0,1,1,1,2,2,1,2,2,1,2,2,1,2,2,3,0,2,2,2,2,1,2,0,1,1,0,1,2,0,2,2,1,2,2,3,3,2,1,0,1,0,2,1,2,2,2,2,2,2,0,3,2,2,40,3,1.1746031746031746,-0.4585206076226434
2,3,1,3,1,1,0,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,0,0,2,0,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,0,1,2,2,1,2,2,1,1,2,2,1,3,1,0,2,2,2,1,2,2,2,0,2,1,1,2,2,0,2,0,2,1,2,2,3,2,0,41,3,1.1473684210526316,-0.5659049522638366
0,2,1,3,1,2,1,1,1,2,0,1,2,1,2,1,1,3,2,1,1,2,0,2,3,1,0,2,2,1,2,1,1,2,2,2,2,2,1,0,0,2,2,1,0,2,1,2,1,1,2,2,2,2,1,0,2,2,2,2,3,2,2,2,2,2,3,0,2,1,3,3,0,2,3,3,2,2,2,2,3,3,1,1,2,2,2,2,2,3,3,2,42,3,1.167420814479638,-0.4904319372048732
2,2,0,3,2,1,2,1,2,0,2,0,2,2,1,0,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,0,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,0,0,3,1,2,1,1,2,2,2,2,0,3,2,2,1,0,1,2,2,1,0,1,2,2,1,2,2,2,2,43,3,1.1422222222222222,-0.5335182288551207
2,3,1,3,2,2,2,0,1,2,2,2,2,1,2,2,1,2,3,2,2,2,2,2,0,1,2,2,2,2,2,2,2,0,2,2,3,3,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,0,1,2,3,2,1,2,2,2,0,2,0,1,3,1,2,2,2,2,0,3,3,3,1,2,0,1,2,2,1,1,2,0,2,2,2,3,2,0,44,3,1.2014051522248244,-0.34727734489394446
0,0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,0,2,2,2,3,1,2,2,3,0,1,1,2,2,2,2,2,2,2,1,2,2,0,2,1,1,2,3,2,2,2,3,2,0,1,3,1,3,1,1,0,2,0,2,3,3,2,2,2,2,1,2,2,1,3,2,2,2,2,3,3,2,0,45,3,1.2179176755447942,-0.3756460814232539
2,2,1,2,2,1,2,2,2,1,0,0,2,0,1,1,1,2,2,1,0,2,1,2,2,2,1,1,1,0,1,2,2,2,1,1,2,0,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,3,1,2,2,2,2,2,3,2,1,2,2,1,3,0,0,2,2,2,2,2,3,2,1,2,1,1,2,2,1,0,2,2,2,0,2,2,1,2,46,3,1.1614906832298137,-0.5666329374613164
2,3,1,3,2,1,1,1,1,2,1,2,2,1,0,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,0,1,2,2,2,3,0,1,0,2,2,1,0,2,0,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,1,3,2,0,2,0,2,2,2,2,1,2,0,1,1,3,0,1,2,2,2,2,1,2,3,2,2,47,3,1.1670480549199085,-0.5676828629326837
1,3,2,3,2,0,1,1,0,2,2,0,2,2,2,1,2,0,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,3,1,2,3,2,2,1,1,0,2,0,1,2,2,2,1,1,2,2,2,3,1,0,3,0,2,2,2,2,2,2,3,1,3,2,1,0,2,3,1,2,3,2,1,2,2,2,3,2,2,2,3,2,2,2,2,0,3,3,48,3,1.2211981566820276,-0.4562621462592745
