0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,simple_param,EPH,corr
4.0,,0.0,9.0,5.0,,4.0,6.0,4.0,5.0,8.0,8.0,10.0,0.0,5.0,6.0,0.0,4.0,10.0,5.0,3.0,,0.0,4.0,0.0,9.0,1.0,10.0,7.0,3.0,2.0,4.0,7.0,0.0,6.0,4.0,9.0,8.0,6.0,5.0,5.0,7.0,5.0,4.0,7.0,4.0,4.0,6.0,5.0,,9.0,,5.0,,5.0,5.0,8.0,4.0,8.0,6.0,0.0,9.0,3.0,4.0,6.0,3,10.0,5.0,0.0,3.0,4.0,4.0,7.0,,10.0,,0.0,7.0,1.0,2.0,0.0,2.0,5.0,9.0,2.0,6.0,,2.0,,,7.0,1.0,0,0.03,3.933641975308642,-0.15835182466557127
10.0,6.0,9.0,,9.0,4.0,7.0,7.0,1.0,7.0,10.0,,,4.0,5.0,9.0,6.0,,4.0,9.0,7.0,11.0,6.0,7.0,4.0,5.0,9.0,3.0,2.0,6.0,11.0,,4.0,10.0,4.0,5.0,,,,0.0,5.0,9.0,3.0,9.0,0.0,9.0,10.0,4.0,8.0,,8.0,10.0,,0.0,0.0,7.0,0.0,8.0,3.0,0.0,1.0,3.0,6.0,4.0,8.0,2,5.0,5.0,1.0,7.0,4.0,,6.0,0.0,0.0,4.0,6.0,5.0,4.0,3.0,,0.0,7.0,10.0,0.0,9.0,9.0,3.0,,,10.0,6.0,1,0.03,4.501515151515152,-0.004319051419410205
6.0,,0.0,3.0,4.0,8.0,8.0,12.0,9.0,6.0,2.0,9.0,6.0,0.0,0.0,6.0,0.0,3.0,,9.0,6.0,0.0,,0.0,,4.0,,8.0,4.0,3.0,10.0,3.0,,4.0,8.0,0.0,4.0,5.0,8.0,10.0,6.0,12.0,5.0,4.0,3.0,10.0,3.0,6.0,3.0,3.0,,5.0,2.0,,3.0,11.0,0.0,8.0,5.0,8.0,,5.0,6.0,9.0,3.0,7,,4.0,7.0,12.0,12.0,0.0,6.0,7.0,,,2.0,,1.0,3.0,2.0,5.0,2.0,,0.0,8.0,7.0,11.0,11.0,11.0,10.0,1.0,2,0.03,4.981651376146789,0.08488878537900804
,8.0,6.0,,10.0,3.0,7.0,9.0,5.0,0.0,6.0,6.0,5.0,7.0,8.0,3.0,5.0,2.0,7.0,7.0,6.0,4.0,10.0,,7.0,3.0,,9.0,6.0,1.0,2.0,9.0,8.0,,9.0,2.0,7.0,,8.0,2.0,9.0,4.0,10.0,3.0,7.0,0.0,7.0,7.0,3.0,3.0,4.0,,0.0,5.0,8.0,0.0,,7.0,0.0,4.0,4.0,3.0,6.0,10.0,7.0,3,3.0,5.0,0.0,10.0,0.0,,8.0,9.0,10.0,3.0,3.0,6.0,10.0,1.0,1.0,1.0,4.0,,0.0,0.0,6.0,7.0,9.0,,0.0,5.0,3,0.03,4.016793893129771,-0.04424459607794674
,,4.0,10.0,2.0,4.0,10.0,5.0,8.0,5.0,0.0,4.0,10.0,0.0,0.0,3.0,2.0,6.0,8.0,6.0,2.0,8.0,4.0,2.0,6.0,6.0,5.0,10.0,1.0,6.0,9.0,7.0,5.0,,3.0,0.0,6.0,,8.0,8.0,7.0,7.0,6.0,3.0,1.0,4.0,4.0,0.0,6.0,2.0,9.0,8.0,3.0,0.0,3.0,5.0,6.0,10.0,7.0,6.0,5.0,4.0,0.0,8.0,9.0,3,,6.0,0.0,8.0,10.0,,9.0,5.0,6.0,,,8.0,6.0,5.0,0.0,7.0,3.0,7.0,4.0,,,4.0,6.0,0.0,1.0,10.0,4,0.03,4.045871559633028,-0.22022845267286534
5.0,6.0,3.0,3.0,6.0,6.0,5.0,,1.0,9.0,0.0,6.0,7.0,3.0,,10.0,4.0,5.0,2.0,5.0,0.0,3.0,9.0,6.0,9.0,10.0,6.0,3.0,0.0,3.0,7.0,5.0,9.0,11.0,0.0,2.0,8.0,0.0,1.0,1.0,0.0,11.0,9.0,3.0,6.0,1.0,8.0,,11.0,0.0,6.0,7.0,0.0,9.0,0.0,8.0,4.0,8.0,7.0,9.0,9.0,11.0,4.0,9.0,4.0,6,11.0,10.0,3.0,,7.0,8.0,5.0,4.0,0.0,7.0,,4.0,8.0,6.0,,8.0,5.0,,,5.0,2.0,6.0,,6.0,,,5,0.03,4.240249609984399,-0.16195792810207055
0.0,8.0,5.0,1.0,6.0,7.0,7.0,5.0,7.0,10.0,6.0,9.0,,8.0,4.0,9.0,3.0,9.0,,3.0,0.0,9.0,7.0,0.0,6.0,6.0,,6.0,7.0,3.0,0.0,4.0,6.0,,6.0,7.0,8.0,0.0,0.0,0.0,6.0,8.0,9.0,6.0,4.0,7.0,,4.0,3.0,9.0,5.0,5.0,7.0,7.0,3.0,0.0,,7.0,7.0,0.0,8.0,5.0,5.0,9.0,0.0,5,,1.0,,5.0,,8.0,1.0,,1.0,3.0,4.0,1.0,2.0,6.0,3.0,6.0,9.0,8.0,8.0,8.0,6.0,,,,,2.0,6,0.03,4.2217125382263,-0.08643986125646627
,8.0,8.0,,7.0,7.0,9.0,4.0,,4.0,3.0,3.0,6.0,8.0,7.0,0.0,,8.0,0.0,5.0,2.0,2.0,0.0,3.0,,,6.0,6.0,3.0,2.0,8.0,5.0,6.0,,1.0,6.0,,0.0,3.0,5.0,6.0,4.0,2.0,0.0,7.0,8.0,9.0,7.0,3.0,7.0,1.0,3.0,1.0,6.0,3.0,4.0,4.0,5.0,0.0,7.0,,2.0,0.0,5.0,4.0,5,0.0,1.0,4.0,,4.0,6.0,5.0,8.0,5.0,4.0,6.0,6.0,0.0,6.0,3.0,8.0,0.0,9.0,3.0,6.0,8.0,2.0,,3.0,9.0,,7,0.03,3.9738863287250386,-0.11136092788973068
5.0,0.0,6.0,0.0,3.0,4.0,5.0,1.0,,4.0,5.0,0.0,0.0,3.0,3.0,1.0,1.0,,,0.0,4.0,,2.0,3.0,6.0,2.0,7.0,2.0,5.0,3.0,1.0,3.0,2.0,6.0,4.0,7.0,8.0,1.0,7.0,6.0,4.0,8.0,4.0,6.0,2.0,3.0,7.0,5.0,5.0,8.0,0.0,5.0,,,3.0,,,,0.0,7.0,6.0,5.0,1.0,2.0,,3,8.0,1.0,1.0,1.0,,7.0,5.0,4.0,6.0,4.0,3.0,2.0,5.0,4.0,0.0,5.0,3.0,6.0,4.0,7.0,3.0,0.0,8.0,0.0,8.0,7.0,8,0.03,3.4885844748858448,-0.22260782897729905
9.0,10.0,4.0,0.0,8.0,3.0,0.0,9.0,4.0,,6.0,6.0,4.0,3.0,10.0,6.0,4.0,,9.0,6.0,0.0,2.0,5.0,10.0,5.0,4.0,0.0,8.0,0.0,9.0,5.0,,,7.0,10.0,3.0,,10.0,0.0,7.0,3.0,2.0,8.0,3.0,4.0,0.0,0.0,2.0,5.0,1.0,7.0,6.0,5.0,10.0,5.0,,2.0,8.0,4.0,8.0,2.0,0.0,5.0,4.0,9.0,1,2.0,3.0,7.0,10.0,9.0,,,,10.0,8.0,0.0,4.0,,3.0,3.0,6.0,2.0,,9.0,5.0,5.0,1.0,9.0,,5.0,,9,0.03,4.338957055214724,-0.31666591551876094
