0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
3.0,4.0,3,,3,3,2,2,3,3,3,3.0,3,1,3,2,2,3.0,3.0,3,3,3,0.0,4.0,2.0,3.0,4.0,2,0.0,0,2,3,3.0,4.0,2,3,4.0,4.0,3,2,3,2,3.0,3,3,3,2,0,2,3,3,0.0,3.0,3.0,2,3,4.0,2.0,0.0,2.0,3.0,0,1,2,3.0,1,4.0,1,0,1.0,2,3.0,3.0,4.0,,3.0,2,3,0,2,2.0,1.0,2,4.0,2.0,0.0,3,3,4.0,,3.0,,11,5,1.5992438563327034,-0.4387497488209957
4.0,,2,,2,1,1,0,0,2,3,4.0,0,2,0,1,1,0.0,3.0,1,2,3,4.0,4.0,3.0,3.0,4.0,2,3.0,3,3,3,4.0,3.0,3,2,3.0,4.0,2,0,2,2,3.0,2,1,2,2,2,3,3,2,4.0,3.0,4.0,3,3,2.0,0.0,2.0,2.0,0.0,2,1,3,3.0,1,3.0,2,0,4.0,2,4.0,4.0,3.0,,3.0,2,2,2,3,3.0,2.0,0,4.0,2.0,3.0,3,2,3.0,,3.0,,12,5,1.5514018691588785,-0.5302043540063069
3.0,,2,,3,2,3,3,2,2,1,3.0,0,2,1,1,2,3.0,3.0,1,2,3,3.0,0.0,2.0,3.0,,0,3.0,0,3,2,3.0,0.0,2,2,3.0,3.0,2,2,3,0,2.0,3,2,3,2,2,2,3,2,3.0,1.0,,2,3,2.0,2.0,2.0,2.0,3.0,2,0,2,3.0,1,3.0,1,2,0.0,3,,3.0,3.0,,3.0,2,2,0,1,2.0,3.0,2,,0.0,3.0,3,2,2.0,,3.0,,13,5,1.4479553903345725,-0.3468604734221336
4.0,4.0,0,,3,2,0,3,2,3,3,3.0,2,2,2,2,2,4.0,0.0,1,1,3,3.0,3.0,4.0,4.0,4.0,3,3.0,3,3,3,3.0,3.0,2,2,0.0,3.0,2,3,2,3,3.0,2,2,3,4,4,2,3,3,4.0,3.0,4.0,3,3,2.0,4.0,4.0,3.0,4.0,3,0,4,0.0,2,4.0,4,1,1.0,1,4.0,0.0,4.0,,4.0,3,3,3,3,4.0,3.0,0,4.0,0.0,3.0,3,3,3.0,0.0,3.0,,14,5,1.625,-0.40862030829988755
3.0,4.0,3,,3,3,2,1,0,0,2,3.0,3,2,0,1,3,2.0,3.0,2,2,3,2.0,4.0,2.0,3.0,4.0,3,3.0,2,3,3,1.0,4.0,3,3,4.0,4.0,3,2,2,2,3.0,3,2,3,0,2,0,1,2,3.0,1.0,4.0,2,2,3.0,2.0,0.0,0.0,1.0,0,1,2,0.0,1,4.0,1,2,3.0,2,4.0,3.0,4.0,,3.0,2,3,0,2,3.0,3.0,2,3.0,1.0,3.0,3,3,3.0,,4.0,,15,5,1.538317757009346,-0.41196176226027054
3.0,1.0,2,,1,0,2,0,3,3,3,1.0,1,3,3,2,2,4.0,4.0,2,2,3,2.0,3.0,3.0,0.0,0.0,3,3.0,0,2,2,3.0,3.0,1,3,4.0,4.0,3,2,2,2,3.0,2,1,1,3,2,0,3,0,2.0,3.0,0.0,2,2,3.0,3.0,3.0,3.0,4.0,2,2,3,4.0,1,4.0,0,3,3.0,3,4.0,2.0,4.0,,4.0,3,3,2,2,0.0,3.0,3,2.0,3.0,4.0,4,3,3.0,,3.0,,16,5,1.5859519408502774,-0.46138266582581966
4.0,,2,,0,3,2,2,3,0,2,4.0,3,1,0,2,0,4.0,3.0,2,1,1,3.0,4.0,3.0,4.0,4.0,2,0.0,4,4,3,3.0,0.0,3,2,4.0,4.0,2,3,2,3,3.0,2,1,3,3,3,3,3,3,3.0,2.0,1.0,3,3,3.0,3.0,3.0,0.0,4.0,3,2,4,0.0,2,4.0,3,3,0.0,4,,3.0,4.0,,4.0,3,3,4,3,4.0,4.0,2,0.0,3.0,3.0,3,3,3.0,,4.0,,17,5,1.5785440613026822,-0.36598973381435385
0.0,,0,,2,3,3,3,3,4,2,3.0,0,2,4,3,3,,4.0,2,0,2,2.0,3.0,,4.0,4.0,1,2.0,4,4,3,2.0,3.0,2,1,1.0,0.0,2,4,2,4,2.0,2,2,3,4,4,1,2,4,0.0,2.0,3.0,4,3,3.0,4.0,4.0,4.0,,4,3,4,3.0,3,,4,4,4.0,4,,4.0,0.0,,,4,3,4,3,,4.0,0,0.0,3.0,0.0,2,4,4.0,,,,18,5,1.6374045801526718,-0.051512737013227686
4.0,,2,,3,2,2,3,3,3,2,3.0,3,1,0,1,2,4.0,3.0,1,2,2,4.0,4.0,3.0,3.0,4.0,2,2.0,3,3,3,4.0,3.0,3,2,4.0,4.0,0,1,2,1,3.0,0,0,2,2,0,3,3,2,3.0,2.0,4.0,2,3,3.0,3.0,3.0,2.0,4.0,2,2,2,3.0,2,3.0,2,2,0.0,3,4.0,4.0,3.0,,4.0,3,0,0,1,3.0,3.0,1,4.0,1.0,3.0,3,3,0.0,0.0,3.0,,19,5,1.5431192660550461,-0.5290169300661558
4.0,,0,,2,3,2,2,3,3,2,4.0,0,1,3,2,2,4.0,3.0,2,1,3,3.0,3.0,2.0,3.0,3.0,1,3.0,3,3,3,3.0,3.0,2,0,3.0,3.0,2,3,2,2,3.0,2,2,2,3,3,0,3,3,3.0,3.0,4.0,0,3,3.0,3.0,3.0,0.0,4.0,3,1,2,4.0,1,4.0,2,2,4.0,3,4.0,3.0,0.0,,4.0,3,2,3,0,4.0,3.0,2,0.0,3.0,2.0,3,2,0.0,,3.0,,20,5,1.6325411334552105,-0.6222985662385085
