0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,simple_param,EPH,corr
2.0,4.0,3.0,0.0,3.0,2.0,6.0,4.0,3.0,3.0,6.0,6.0,5.0,4.0,,3,4.0,,4.0,0,2.0,1.0,3.0,3.0,6.0,,3.0,3.0,1.0,3.0,2.0,4.0,5.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,2.0,,1.0,0.0,0.0,4.0,6.0,5.0,,0.0,3,4.0,5.0,2,3.0,3.0,3.0,5.0,5.0,6.0,,4.0,,,1.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,,,5.0,2.0,5.0,0.0,4.0,5.0,10,0.05,2.5802861685214626,-0.21444055351249733
5.0,1.0,2.0,,4.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,,4.0,3.0,1,2.0,5.0,2.0,2,4.0,4.0,0.0,3.0,3.0,,4.0,5.0,0.0,0.0,2.0,2.0,3.0,,2.0,4.0,,4.0,,6.0,3.0,6.0,2.0,4.0,2.0,2.0,4.0,0.0,1.0,4.0,5.0,0.0,5.0,,2.0,6.0,6.0,2.0,0.0,5.0,3.0,0.0,1,2.0,5.0,1,,3.0,0.0,2.0,3.0,3.0,4.0,3.0,6.0,6.0,4.0,4.0,0.0,6.0,,3.0,3.0,5.0,2.0,0.0,3.0,4.0,,6.0,5.0,5.0,11,0.05,2.6222910216718267,-0.25687406237658705
2.0,7.0,4.0,,2.0,4.0,3.0,0.0,0.0,5.0,2.0,,0.0,3.0,0.0,3,2.0,0.0,6.0,3,5.0,6.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,4.0,1.0,1.0,7.0,,6.0,4.0,5.0,,3.0,0.0,1.0,5.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,,2.0,3.0,4.0,4.0,1.0,4.0,0.0,5.0,3.0,0.0,3.0,2,3.0,,2,,3.0,0.0,7.0,6.0,,4.0,5.0,6.0,3.0,6.0,4.0,5.0,,,2.0,0.0,3.0,6.0,5.0,4.0,4.0,,,4.0,7.0,12,0.05,2.8346213292117466,-0.2253436384738316
,3.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,6.0,5.0,4.0,0.0,7.0,4.0,3,5.0,,,2,6.0,7.0,4.0,0.0,6.0,1.0,6.0,0.0,7.0,0.0,3.0,3.0,6.0,0.0,4.0,3.0,,1.0,3.0,4.0,5.0,0.0,5.0,5.0,1.0,5.0,4.0,2.0,4.0,3.0,4.0,,2.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,,0,3.0,3.0,2,3.0,1.0,5.0,0.0,6.0,3.0,3.0,5.0,,,5.0,7.0,0.0,2.0,,7.0,6.0,5.0,0.0,5.0,5.0,5.0,5.0,,,,13,0.05,2.94392523364486,-0.08722318039450441
,4.0,0.0,,2.0,5.0,0.0,1.0,5.0,4.0,3.0,3.0,4.0,4.0,,4,4.0,5.0,0.0,1,2.0,5.0,2.0,3.0,3.0,6.0,,5.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,2.0,0.0,2.0,5.0,2.0,2.0,4.0,,1.0,5.0,4.0,2.0,3.0,1.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,,4.0,3.0,4.0,6.0,5.0,0,2.0,0.0,3,,4.0,5.0,3.0,,4.0,0.0,4.0,6.0,5.0,4.0,,4.0,4.0,,5.0,0.0,4.0,0.0,1.0,1.0,,2.0,0.0,,4.0,14,0.05,2.5686591276252018,-0.08004396306510843
5.0,,4.0,,4.0,5.0,1.0,1.0,0.0,0.0,6.0,2.0,3.0,4.0,0.0,3,5.0,,4.0,5,2.0,,6.0,,2.0,1.0,4.0,1.0,5.0,2.0,6.0,1.0,6.0,5.0,,3.0,6.0,,5.0,5.0,4.0,5.0,6.0,6.0,3.0,4.0,0.0,2.0,0.0,4.0,4.0,6.0,3.0,,3.0,6.0,3.0,2.0,0.0,0.0,,0.0,2,4.0,0.0,2,,1.0,3.0,5.0,4.0,,3.0,5.0,,5.0,5.0,3.0,0.0,5.0,6.0,5.0,2.0,3.0,1.0,3.0,4.0,6.0,3.0,,6.0,4.0,15,0.05,2.617088607594937,-0.16455304796231862
4.0,,,,2.0,0.0,3.0,0.0,5.0,2.0,5.0,1.0,5.0,5.0,,2,4.0,,,2,2.0,6.0,5.0,2.0,1.0,0.0,0.0,6.0,5.0,0.0,5.0,5.0,2.0,5.0,,5.0,,5.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,,2.0,6.0,0.0,5.0,0.0,2.0,5.0,0.0,,5.0,3.0,1.0,3.0,6.0,6.0,5.0,4,5.0,6.0,3,3.0,0.0,3.0,5.0,4.0,6.0,4.0,4.0,,,4.0,,3.0,2.0,0.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,3.0,5.0,5.0,6.0,16,0.05,2.7987321711568938,-0.177151687380437
3.0,5.0,4.0,6.0,0.0,5.0,1.0,4.0,4.0,0.0,5.0,3.0,8.0,1.0,0.0,2,0.0,3.0,,5,4.0,7.0,3.0,8.0,8.0,6.0,2.0,6.0,0.0,7.0,,2.0,,0.0,3.0,5.0,7.0,5.0,2.0,3.0,4.0,7.0,1.0,1.0,5.0,5.0,4.0,4.0,1.0,6.0,,3.0,,,6.0,5.0,,4.0,7.0,0.0,6.0,4.0,5,2.0,0.0,2,,5.0,4.0,0.0,4.0,,5.0,8.0,,6.0,3.0,3.0,6.0,6.0,8.0,7.0,2.0,0.0,7.0,4.0,3.0,1.0,8.0,2.0,7.0,4.0,17,0.05,3.1923664122137403,-0.14918225960488699
0.0,,0.0,4.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,0.0,2.0,3.0,3,5.0,,3.0,1,0.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,1.0,1.0,6.0,0.0,2.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,5.0,0.0,2.0,3.0,3.0,6.0,4.0,4.0,2.0,4.0,,5.0,1,5.0,6.0,4,,3.0,5.0,,2.0,,4.0,0.0,6.0,,5.0,3.0,5.0,5.0,4.0,,0.0,0.0,5.0,0.0,3.0,2.0,,,6.0,,18,0.05,2.341977309562399,-0.2035394801846813
1.0,3.0,4.0,,6.0,4.0,3.0,5.0,4.0,5.0,5.0,6.0,2.0,5.0,0.0,5,3.0,5.0,7.0,5,4.0,6.0,,7.0,6.0,7.0,7.0,3.0,3.0,5.0,,2.0,5.0,4.0,7.0,3.0,,4.0,0.0,2.0,1.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,3.0,,3.0,,3.0,5.0,3.0,2.0,7.0,1.0,5.0,7.0,4,5.0,6.0,2,1.0,1.0,5.0,0.0,,6.0,5.0,7.0,,3.0,6.0,0.0,0.0,2.0,2.0,2.0,3.0,,4.0,3.0,1.0,,0.0,0.0,5.0,5.0,19,0.05,2.9827586206896552,-0.1307386747963945
